date,snbgwdchfsgw:UEB
2024-12-27,9239.0
2025-01-03,13000.0
2025-01-10,8087.0
2025-01-17,8567.0
2025-01-24,8003.0
2025-01-31,8930.0
2025-02-07,10059.0
2025-02-14,8095.0
2025-02-21,7915.0
2025-02-28,8041.0
2025-03-07,8198.0
2025-03-14,7760.0
2025-03-21,8836.0
2025-03-28,9554.0
2025-04-04,10291.0
2025-04-11,8566.0
2025-04-18,8612.0
2025-04-25,8455.0
2025-05-02,11054.0
2025-05-09,8394.0
2025-05-16,8403.0
2025-05-23,7654.0
2025-05-30,10580.0
2025-06-06,11785.0
2025-06-13,8152.0
2025-06-20,12473.0
2025-06-27,34870.0
2025-07-04,35398.0
2025-07-11,29174.0
2025-07-18,30470.0
2025-07-25,29782.0
2025-08-01,28951.0
2025-08-08,28809.0
2025-08-15,26588.0
2025-08-22,26962.0
2025-08-29,27687.0
2025-09-05,29880.0
2025-09-12,26852.0
2025-09-19,27161.0
2025-09-26,28056.0
2025-10-03,31916.0
2025-10-10,22536.0
2025-10-17,22667.0
2025-10-24,22847.0
2025-10-31,23638.0
2025-11-07,23740.0
2025-11-14,19627.0
2025-11-21,20333.0
2025-11-28,21166.0
2025-12-05,21351.0
2025-12-12,18825.0
2025-12-19,18230.0
2025-12-26,18704.0
2026-01-02,25990.0
2026-01-09,24023.0
2026-01-16,16348.0
2026-01-23,15691.0
2026-01-30,16154.0
2026-02-06,16764.0
2026-02-13,15646.0
2026-02-20,16949.0
2026-02-27,19292.0
2026-03-06,25211.0
2026-03-13,20903.0
2026-03-20,24221.0
2026-03-27,27857.0
2026-04-03,34408.0
2026-04-10,23753.0
2026-04-17,20290.0
2026-04-24,22904.0
2026-05-01,29002.0
2026-05-08,31946.0
2026-05-15,32661.0
2026-05-22,31032.0
2026-05-29,35127.0
2026-06-05,36425.0
2026-06-12,34473.0
2026-06-19,34391.0
2026-06-26,34083.0
2026-07-03,38232.0
2026-07-10,26495.0
2026-07-17,26303.0
2026-07-24,26603.0
2026-07-31,29916.0
2026-08-07,29752.0
2026-08-14,25233.0
2026-08-21,26548.0
2026-08-28,26059.0
2026-09-04,27616.0
