date,RPWZ4TM
2026-06-17,527899.0
2026-06-24,527899.0
2026-07-01,527899.0
2026-07-08,527899.0
2026-07-15,527899.0
2026-07-22,527899.0
2026-07-29,521819.0
2026-08-05,521819.0
2026-08-12,521819.0
2026-08-19,521819.0
2026-08-26,521819.0
2026-09-02,521819.0
