date,exchequer_residual_weekly
2024-12-11,-4078.0
2024-12-18,497.0
2024-12-25,3179.0
2025-01-01,1525.0
2025-01-08,-2595.0
2025-01-15,-917.0
2025-01-22,-10422.0
2025-01-29,-3426.0
2025-02-05,3734.0
2025-02-12,3288.0
2025-02-19,3153.0
2025-02-26,-4728.0
2025-03-05,-12745.0
2025-03-12,-5018.0
2025-03-19,-4670.0
2025-03-26,6005.0
2025-04-02,2243.0
2025-04-09,-820.0
2025-04-16,-2403.0
2025-04-23,25647.0
2025-04-30,-1210.0
2025-05-07,2880.0
2025-05-14,3959.0
2025-05-21,-476.0
2025-05-28,-4529.0
2025-06-04,-6958.0
2025-06-11,-20448.0
2025-06-18,-2590.0
2025-06-25,6319.0
2025-07-02,-642.0
2025-07-09,-987.0
2025-07-16,-13.0
2025-07-23,24986.0
2025-07-30,-1442.0
2025-08-06,1094.0
2025-08-13,4066.0
2025-08-20,1052.0
2025-08-27,-4906.0
2025-09-03,-7619.0
2025-09-10,-16087.0
2025-09-17,487.0
2025-09-24,2228.0
2025-10-01,1067.0
2025-10-08,-653.0
2025-10-15,-1160.0
2025-10-22,-3227.0
2025-10-29,26540.0
2025-11-05,-105.0
2025-11-12,3276.0
2025-11-19,-1054.0
2025-11-26,867.0
2025-12-03,634.0
2025-12-10,-2716.0
2025-12-17,-1136.0
2025-12-24,727.0
2025-12-31,3402.0
2026-01-07,77.0
2026-01-14,-1484.0
2026-01-21,-3049.0
2026-01-28,-11527.0
2026-02-04,-7276.0
2026-02-11,1700.0
2026-02-18,1820.0
2026-02-25,-1145.0
2026-03-04,-154.0
2026-03-11,-288.0
2026-03-18,-8317.0
2026-03-25,10004.0
2026-04-01,-1801.0
2026-04-08,1553.0
2026-04-15,-1056.0
2026-04-22,-11567.0
2026-04-29,29017.0
2026-05-06,4377.0
2026-05-13,-4394.0
2026-05-20,2074.0
2026-05-27,-1225.0
2026-06-03,1197.0
2026-06-10,-8669.0
2026-06-17,3889.0
2026-06-24,4386.0
2026-07-01,-124.0
2026-07-08,-908.0
2026-07-15,-92.0
2026-07-22,-32661.0
2026-07-29,6405.0
2026-08-05,1174.0
2026-08-12,-1093.0
2026-08-19,662.0
2026-08-26,-1623.0
2026-09-02,2181.0
