date,J5II
2015-09-30,-11359.0
2015-10-31,-10339.0
2015-11-30,-9183.0
2015-12-31,-7352.0
2016-01-31,6217.0
2016-02-29,-5668.0
2016-03-31,-4921.0
2016-04-30,-12182.0
2016-05-31,-7248.0
2016-06-30,-4882.0
2016-07-31,-718.0
2016-08-31,-7255.0
2016-09-30,-10801.0
2016-10-31,-7955.0
2016-11-30,-6927.0
2016-12-31,-5295.0
2017-01-31,8632.0
2017-02-28,197.0
2017-03-31,-2666.0
2017-04-30,-12804.0
2017-05-31,-7332.0
2017-06-30,-6636.0
2017-07-31,-396.0
2017-08-31,-5627.0
2017-09-30,-10108.0
2017-10-31,-8196.0
2017-11-30,-6701.0
2017-12-31,-4537.0
2018-01-31,5639.0
2018-02-28,-2754.0
2018-03-31,-1961.0
2018-04-30,-10014.0
2018-05-31,-4470.0
2018-06-30,-4077.0
2018-07-31,2514.0
2018-08-31,-6966.0
2018-09-30,-8856.0
2018-10-31,-9241.0
2018-11-30,-5776.0
2018-12-31,-5414.0
2019-01-31,10292.0
2019-02-28,-2103.0
2019-03-31,38.0
2019-04-30,-11169.0
2019-05-31,-4701.0
2019-06-30,-6813.0
2019-07-31,1123.0
2019-08-31,-4919.0
2019-09-30,-8732.0
2019-10-31,-11291.0
2019-11-30,-5486.0
2019-12-31,-6085.0
2020-01-31,8160.0
2020-02-29,-1971.0
2020-03-31,-6879.0
2020-04-30,-48983.0
2020-05-31,-51103.0
2020-06-30,-32143.0
2020-07-31,-21821.0
2020-08-31,-23998.0
2020-09-30,-27968.0
2020-10-31,-17902.0
2020-11-30,-21404.0
2020-12-31,-23915.0
2021-01-31,-1263.0
2021-02-28,-15491.0
2021-03-31,-24843.0
2021-04-30,-23167.0
2021-05-31,-16776.0
2021-06-30,-18358.0
2021-07-31,-3947.0
2021-08-31,-13543.0
2021-09-30,-16422.0
2021-10-31,-7663.0
2021-11-30,-7009.0
2021-12-31,-9467.0
2022-01-31,12309.0
2022-02-28,-6745.0
2022-03-31,-5190.0
2022-04-30,-13159.0
2022-05-31,-8459.0
2022-06-30,-18602.0
2022-07-31,-285.0
2022-08-31,-7549.0
2022-09-30,-15036.0
2022-10-31,-10771.0
2022-11-30,-15241.0
2022-12-31,-15627.0
2023-01-31,8884.0
2023-02-28,-10660.0
2023-03-31,-17311.0
2023-04-30,-20233.0
2023-05-31,-15615.0
2023-06-30,-19322.0
2023-07-31,-3218.0
2023-08-31,-11964.0
2023-09-30,-15969.0
2023-10-31,-16637.0
2023-11-30,-15172.0
2023-12-31,-8264.0
2024-01-31,15131.0
2024-02-29,-10533.0
2024-03-31,-13438.0
2024-04-30,-19376.0
2024-05-31,-17544.0
2024-06-30,-14627.0
2024-07-31,-3888.0
2024-08-31,-14799.0
2024-09-30,-18713.0
2024-10-31,-19092.0
2024-11-30,-13263.0
2024-12-31,-18409.0
2025-01-31,14983.0
2025-02-28,-11622.0
2025-03-31,-13419.0
2025-04-30,-20148.0
2025-05-31,-18235.0
2025-06-30,-24262.0
2025-07-31,-1479.0
2025-08-31,-15351.0
2025-09-30,-22755.0
2025-10-31,-16167.0
2025-11-30,-9911.0
2025-12-31,-12930.0
2026-01-31,32023.0
2026-02-28,-12764.0
2026-03-31,-12307.0
2026-04-30,-23401.0
2026-05-31,-19873.0
2026-06-30,-13719.0
2026-07-31,-2040.0
2026-08-31,-18268.0
