date,iltr_net_daily
2025-10-23,-640.0
2025-10-28,7508.0
2025-10-30,-350.0
2025-11-04,3695.0
2025-11-06,-2615.0
2025-11-11,6073.0
2025-11-13,-555.0
2025-11-18,1280.0
2025-11-20,-720.0
2025-11-25,597.0
2025-11-27,-1083.0
2025-12-02,1046.0
2025-12-04,-421.0
2025-12-09,2136.0
2025-12-11,-1240.0
2025-12-16,2493.0
2025-12-18,-3462.0
2026-01-06,2802.0
2026-01-08,-1606.0
2026-01-13,3727.0
2026-01-15,-1835.0
2026-01-20,3344.0
2026-01-22,-1611.0
2026-01-27,2528.0
2026-01-29,-1694.0
2026-02-03,1549.0
2026-02-05,-1015.0
2026-02-10,1601.0
2026-02-12,-321.0
2026-02-17,1710.0
2026-02-19,-853.0
2026-02-24,931.0
2026-02-26,-425.0
2026-03-03,2318.0
2026-03-05,-1491.0
2026-03-10,4452.0
2026-03-12,-3025.0
2026-03-17,2515.0
2026-03-19,-2695.0
2026-03-24,2675.0
2026-03-26,-2352.0
2026-03-31,6494.0
2026-04-02,-5085.0
2026-04-07,2081.0
2026-04-09,-2536.0
2026-04-14,2589.0
2026-04-16,-6344.0
2026-04-21,2616.0
2026-04-23,-3829.0
2026-04-28,2375.0
2026-04-30,-7508.0
2026-05-05,4795.0
2026-05-07,-3695.0
2026-05-12,2446.0
2026-05-14,-6073.0
2026-05-19,1092.0
2026-05-21,-1280.0
2026-05-26,1605.0
2026-05-28,-597.0
2026-06-02,1817.0
2026-06-04,-1046.0
2026-06-09,2333.0
2026-06-11,-2136.0
2026-06-16,1348.0
2026-06-18,-2493.0
2026-06-23,2327.0
2026-06-30,6079.0
2026-07-07,3685.0
2026-07-09,-2802.0
2026-07-14,7059.0
2026-07-16,-3727.0
2026-07-21,7362.0
2026-07-23,-3344.0
2026-07-28,2379.0
2026-07-30,-2528.0
2026-08-04,2029.0
2026-08-06,-1549.0
2026-08-11,2802.0
2026-08-13,-1601.0
2026-08-18,3480.0
2026-08-20,-1710.0
2026-08-25,3121.0
2026-08-27,-931.0
2026-09-01,2797.0
2026-09-03,-2318.0
2026-09-08,5018.0
