date,gilt_issued_daily
2020-09-04,5912.749
2020-09-09,8000.0
2020-09-11,5671.749
2020-09-16,5055.0
2020-09-17,3124.999
2020-09-23,6500.0
2020-09-25,5060.748
2020-09-30,3437.499
2020-10-02,5250.0
2020-10-07,5518.452
2020-10-08,3384.149
2020-10-14,4562.499
2020-10-15,3125.0
2020-10-21,697.049
2020-10-23,4618.875
2020-10-28,4760.741
2020-10-29,3084.999
2020-11-04,5905.624
2020-11-05,3000.0
2020-11-12,861.4
2020-11-13,5312.498
2020-11-18,6562.499
2020-11-19,2500.0
2020-11-25,4565.249
2020-12-02,5919.355
2020-12-03,4000.0
2020-12-09,6529.372
2020-12-10,3261.102
2021-01-07,3749.999
2021-01-13,4450.624
2021-01-14,375.0
2021-01-20,6500.0
2021-01-22,3250.0
2021-01-27,4686.25
2021-01-28,1036.3
2021-02-03,4071.25
2021-02-04,3143.0
2021-02-10,2250.0
2021-02-11,2000.0
2021-02-17,4500.0
2021-02-18,2500.0
2021-02-24,2499.998
2021-03-03,4709.85
2021-03-05,3437.5
2021-03-10,2812.5
2021-03-11,878.975
2021-03-17,6008.0
2021-03-18,2500.0
2021-03-24,2250.0
2021-03-25,357.25
2021-04-08,5394.0
2021-04-09,3437.5
2021-04-14,1000.0
2021-04-15,713.825
2021-04-21,4062.498
2021-04-22,3124.999
2021-04-28,6000.0
2021-04-29,1113.65
2021-05-06,4750.0
2021-05-12,4783.75
2021-05-19,6874.994
2021-05-20,3093.749
2021-05-26,4000.0
2021-06-03,5937.499
2021-06-09,5304.997
2021-06-10,1172.438
2021-06-16,5055.281
2021-06-17,3118.75
2021-06-24,500.0
2021-07-02,4232.497
2021-07-07,5303.749
2021-07-08,701.05
2021-07-14,7000.0
2021-07-21,1562.5
2021-07-28,3000.0
2021-08-04,2000.0
2021-08-11,3437.499
2021-08-12,705.0
2021-08-18,2274.25
2021-08-25,3000.0
2021-09-02,2859.0
2021-09-08,4500.0
2021-09-09,1010.725
2021-09-15,3000.0
2021-09-16,2857.916
2021-09-22,10000.0
2021-09-23,350.0
2021-09-29,2000.0
2021-10-06,5288.125
2021-10-07,3125.0
2021-10-13,1562.5
2021-10-14,567.4
2021-10-21,2812.5
2021-10-22,6000.0
2021-10-27,2750.0
2021-11-03,4533.75
2021-11-04,2500.0
2021-11-11,900.0
2021-11-17,2170.375
2021-11-24,1100.0
2021-12-02,2250.0
2021-12-08,1875.0
2022-01-12,3000.0
2022-01-19,3124.998
2022-01-27,600.0
2022-02-09,4250.0
2022-02-16,2250.0
2022-03-03,3250.0
2022-03-09,1874.999
2022-03-16,1239.4
2022-04-06,3250.0
2022-04-13,3124.998
2022-04-21,2499.998
2022-04-28,1800.0
2022-05-11,2250.0
2022-05-12,2500.0
2022-05-18,2187.499
2022-05-25,847.7
2022-06-08,3075.0
2022-06-09,3125.0
2022-06-22,5500.0
2022-06-29,1011.975
2022-07-06,2378.75
2022-07-13,3437.5
2022-07-20,2500.0
2022-07-22,4366.249
2022-07-28,700.0
2022-08-03,2771.875
2022-08-10,1760.0
2022-08-17,2803.5
2022-08-24,750.0
2022-08-26,1500.0
2022-09-02,2499.999
2022-09-07,4183.157
2022-09-08,3437.5
2022-09-28,1200.0
2022-09-29,4500.0
2022-10-05,2500.0
2022-10-06,3749.999
2022-10-12,1106.299
2022-10-13,4365.25
2022-10-19,3125.0
2022-10-20,4062.5
2022-10-26,898.85
2022-10-27,3500.0
2022-11-09,6000.0
2022-11-10,2750.0
2022-11-11,4374.998
2022-11-16,5500.0
2022-11-23,1500.0
2022-11-24,3559.5
2022-12-02,2812.499
2022-12-07,6874.998
2022-12-08,744.65
2022-12-14,3749.999
2022-12-21,3619.25
2023-01-06,3500.0
2023-01-11,3702.5
2023-01-18,4440.75
2023-01-20,1195.925
2023-01-25,6000.0
2023-02-02,3000.0
2023-02-08,3500.0
2023-02-09,2000.0
2023-02-15,3000.0
2023-02-22,3500.0
2023-02-23,2000.0
2023-03-02,3124.999
2023-03-03,736.825
2023-03-08,4500.0
2023-03-09,2500.0
2023-03-15,3749.999
2023-03-22,2464.999
2023-03-23,3500.0
2023-04-05,2250.0
2023-04-06,4374.997
2023-04-13,1124.024
2023-04-14,4062.497
2023-04-19,2812.499
2023-04-20,4241.565
2023-04-27,4500.0
2023-05-04,4000.0
2023-05-11,4374.999
2023-05-17,5500.0
2023-05-18,4649.75
2023-05-24,750.0
2023-05-25,3000.0
2023-06-07,3112.499
2023-06-08,4076.162
2023-06-14,3500.0
2023-06-21,4687.499
2023-06-28,1690.35
2023-06-29,3437.499
2023-07-05,2000.0
2023-07-06,4643.059
2023-07-13,3500.0
2023-07-14,3500.0
2023-07-19,2500.0
2023-07-20,3750.0
2023-07-26,3000.0
2023-08-02,4000.0
2023-08-09,1104.5
2023-08-10,3500.0
2023-08-16,2500.0
2023-08-23,1840.025
2023-09-06,5000.0
2023-09-07,4660.425
2023-09-13,910.0
2023-09-14,4002.125
2023-09-20,2750.0
2023-09-27,3000.0
2023-09-28,750.0
2023-10-04,2250.0
2023-10-05,5312.5
2023-10-11,900.0
2023-10-12,4687.499
2023-10-18,2750.0
2023-10-25,1500.0
2023-10-26,3220.312
2023-11-02,4598.568
2023-11-08,4392.331
2023-11-09,1042.45
2023-11-16,7000.0
2023-11-29,2750.0
2023-11-30,4678.875
2023-12-06,1567.45
2023-12-07,3000.0
2023-12-13,4687.498
2023-12-14,2500.0
2023-12-20,3000.0
2024-01-05,3423.749
2024-01-10,2812.499
2024-01-11,5000.0
2024-01-17,1518.775
2024-01-18,3750.0
2024-01-24,6000.0
2024-01-25,4026.0
2024-01-31,961.7
2024-02-07,2500.0
2024-02-08,4000.0
2024-02-14,1814.45
2024-02-15,3750.0
2024-02-21,2138.499
2024-02-22,4999.998
2024-02-28,900.0
2024-02-29,4000.0
2024-03-06,4687.495
2024-03-13,4687.499
2024-03-14,4000.0
2024-03-20,2500.0
2024-03-27,3000.0
2024-04-05,3750.0
2024-04-10,2783.623
2024-04-11,5000.0
2024-04-17,1622.075
2024-04-18,3750.0
2024-04-25,6750.0
2024-05-01,4000.0
2024-05-02,3750.0
2024-05-09,2500.0
2024-05-15,622.85
2024-05-16,3000.0
2024-05-22,2812.5
2024-05-23,4567.75
2024-05-30,1000.0
2024-06-05,2000.0
2024-06-06,4999.999
2024-06-12,11000.0
2024-06-13,1071.0
2024-06-19,4999.998
2024-06-26,1802.699
2024-06-27,3000.0
2024-07-03,4110.0
2024-07-10,4500.0
2024-07-12,3750.0
2024-07-17,2812.499
2024-07-18,4000.0
2024-07-24,1239.325
2024-07-25,2575.249
2024-07-31,4254.885
2024-08-07,2499.999
2024-08-08,4020.25
2024-08-14,3749.997
2024-08-22,4000.982
2024-08-29,1547.375
2024-09-04,8000.0
2024-09-06,4000.0
2024-09-11,998.275
2024-09-12,3750.0
2024-09-13,2000.0
2024-09-18,2747.75
2024-09-19,2750.0
2024-09-25,1706.524
2024-09-26,3750.0
2024-10-02,2812.498
2024-10-03,4020.0
2024-10-09,1151.621
2024-10-10,3768.75
2024-10-16,2812.499
2024-10-17,4374.999
2024-10-23,1084.849
2024-10-24,4787.273
2024-10-30,4000.0
2024-11-01,2250.0
2024-11-06,3750.0
2024-11-13,2261.869
2024-11-14,4068.75
2024-11-20,3250.0
2024-11-22,2000.0
2024-11-27,4250.0
2024-12-04,2812.5
2024-12-05,4000.0
2024-12-06,350.0
2024-12-11,1500.0
2024-12-12,4000.0
2024-12-18,3750.0
2025-01-08,2266.875
2025-01-09,4250.0
2025-01-15,1183.075
2025-01-16,5000.0
2025-01-22,8500.0
2025-01-24,5312.498
2025-01-29,1500.0
2025-01-30,3000.0
2025-01-31,1500.0
2025-02-05,5312.499
2025-02-06,2000.0
2025-02-12,13000.0
2025-02-13,1000.0
2025-02-19,2109.749
2025-02-20,4250.0
2025-02-26,1907.675
2025-02-28,3250.0
2025-03-05,2812.498
2025-03-06,4250.0
2025-03-12,5000.0
2025-03-13,4000.0
2025-03-19,5312.499
2025-03-26,2000.0
2025-03-28,3749.997
2025-04-03,1944.6
2025-04-04,4062.5
2025-04-09,2812.499
2025-04-10,4522.75
2025-04-16,4000.0
2025-04-17,1500.0
2025-04-25,2187.5
2025-04-30,1117.0
2025-05-01,5624.998
2025-05-08,5624.998
2025-05-14,1244.05
2025-05-15,4893.41
2025-05-16,2000.0
2025-05-21,4000.0
2025-05-22,4771.375
2025-05-29,2750.0
2025-05-30,1250.0
2025-06-04,1419.25
2025-06-05,5925.623
2025-06-11,5500.0
2025-06-12,4250.0
2025-06-18,5624.999
2025-06-25,1740.775
2025-06-26,3250.0
2025-06-27,1000.0
2025-07-02,2000.0
2025-07-03,5050.0
2025-07-09,900.0
2025-07-10,4761.75
2025-07-16,1000.0
2025-07-17,1500.0
2025-07-18,5891.098
2025-07-23,2007.85
2025-07-24,3749.998
2025-07-30,6249.998
2025-07-31,300.0
2025-08-06,5624.997
2025-08-13,4750.0
2025-08-20,1956.675
2025-08-28,5156.823
2025-09-03,14000.0
2025-09-05,938.474
2025-09-10,1810.0
2025-09-11,4000.0
2025-09-12,2250.0
2025-09-17,3000.0
2025-09-24,1604.25
2025-09-25,4750.0
2025-09-26,2000.0
2025-10-02,1718.525
2025-10-03,4500.0
2025-10-08,1250.0
2025-10-09,5371.416
2025-10-15,9000.0
2025-10-16,1500.0
2025-10-22,1500.0
2025-10-24,5463.749
2025-10-29,1875.0
2025-10-30,4687.499
2025-10-31,1500.0
2025-11-05,5050.0
2025-11-13,4250.0
2025-11-19,1250.0
2025-11-20,4500.0
2025-11-21,300.0
2025-11-26,5624.999
2025-12-03,1000.0
2025-12-04,5937.497
2025-12-05,1000.0
2025-12-10,750.0
2025-12-11,5624.999
2025-12-17,4805.999
2026-01-08,5196.874
2026-01-14,900.0
2026-01-15,5624.999
2026-01-21,7250.0
2026-01-22,5937.499
2026-01-28,4021.25
2026-01-30,1250.0
2026-02-04,5312.499
2026-02-11,3750.0
2026-02-12,300.0
2026-02-18,1250.0
2026-02-25,3601.185
2026-03-06,3500.0
2026-03-11,6250.0
2026-03-13,500.0
2026-03-18,4255.0
2026-03-25,2250.0
2026-03-27,300.0
2026-04-10,4527.666
2026-04-15,15000.0
2026-04-17,1124.999
2026-04-22,5000.0
2026-04-29,2250.0
2026-05-07,1728.25
2026-05-13,4827.965
2026-05-20,1250.0
2026-05-22,4000.0
2026-05-28,4000.0
2026-05-29,2000.0
2026-06-03,3250.0
2026-06-04,1727.825
2026-06-10,9000.0
2026-06-12,6249.999
2026-06-17,5312.498
2026-06-25,5251.875
2026-06-26,1500.0
2026-07-02,1250.0
2026-07-03,3250.0
2026-07-08,4848.0
2026-07-09,1500.0
2026-07-15,4750.0
2026-07-17,4520.5
2026-07-22,5000.0
2026-07-24,500.0
2026-07-29,1500.0
2026-08-05,5312.499
2026-08-13,1830.775
2026-08-19,4073.777
2026-08-26,4999.999
2026-09-04,900.0
