date,JW2P
2023-08-31,9840.0
2023-09-30,4788.0
2023-10-31,12419.0
2023-11-30,11335.0
2023-12-31,8167.0
2024-01-31,8173.0
2024-02-29,11079.0
2024-03-31,6646.0
2024-04-30,13080.0
2024-05-31,11903.0
2024-06-30,11593.0
2024-07-31,10484.0
2024-08-31,9837.0
2024-09-30,9163.0
2024-10-31,12631.0
2024-11-30,6690.0
2024-12-31,11997.0
2025-01-31,9677.0
2025-02-28,10462.0
2025-03-31,7551.0
2025-04-30,12239.0
2025-05-31,10420.0
2025-06-30,19863.0
2025-07-31,9736.0
2025-08-31,10901.0
2025-09-30,11961.0
2025-10-31,10988.0
2025-11-30,5705.0
2025-12-31,11502.0
2026-01-31,3880.0
2026-02-28,15330.0
2026-03-31,5584.0
2026-04-30,12179.0
2026-05-31,14115.0
2026-06-30,14246.0
2026-07-31,10471.0
2026-08-31,11215.0
