date,RPWZ4TL
2024-05-01,15669.0
2024-05-08,15672.0
2024-05-15,15676.0
2024-05-22,15680.0
2024-05-29,15684.0
2024-06-05,15680.0
2024-06-12,15632.0
2024-06-19,15635.0
2024-06-26,15639.0
2024-07-03,15643.0
2024-07-10,15647.0
2024-07-17,15651.0
2024-07-24,15642.0
2024-07-31,15641.0
2024-08-07,15645.0
2024-08-14,15649.0
2024-08-21,15652.0
2024-08-28,15656.0
2024-09-04,15671.0
2024-09-11,14860.0
2024-09-18,14864.0
2024-09-25,14868.0
2024-10-02,14871.0
2024-10-09,14875.0
2024-10-16,14878.0
2024-10-23,14868.0
2024-10-30,14871.0
2024-11-06,14875.0
2024-11-13,14879.0
2024-11-20,14882.0
2024-11-27,14886.0
2024-12-04,14880.0
2024-12-11,14831.0
2024-12-18,14835.0
2024-12-25,14838.0
2025-01-01,14842.0
2025-01-08,14845.0
2025-01-15,14849.0
2025-01-22,14840.0
2025-01-29,14844.0
2025-02-05,14720.0
2025-02-12,14724.0
2025-02-19,14727.0
2025-02-26,14731.0
2025-03-05,14733.0
2025-03-12,14009.0
2025-03-19,14012.0
2025-03-26,14015.0
2025-04-02,14019.0
2025-04-09,14022.0
2025-04-16,14025.0
2025-04-23,14015.0
2025-04-30,14018.0
2025-05-07,14022.0
2025-05-14,14025.0
2025-05-21,14028.0
2025-05-28,14032.0
2025-06-04,14036.0
2025-06-11,13479.0
2025-06-18,13483.0
2025-06-25,13486.0
2025-07-02,13489.0
2025-07-09,13492.0
2025-07-16,13496.0
2025-07-23,13486.0
2025-07-30,13489.0
2025-08-06,13489.0
2025-08-13,13492.0
2025-08-20,13495.0
2025-08-27,13499.0
2025-09-03,13500.0
2025-09-10,12978.0
2025-09-17,12981.0
2025-09-24,12984.0
2025-10-01,12987.0
2025-10-08,12990.0
2025-10-15,12994.0
2025-10-22,12983.0
2025-10-29,12986.0
2025-11-05,12989.0
2025-11-12,13072.0
2025-11-19,13151.0
2025-11-26,13230.0
2025-12-03,13352.0
2025-12-10,13380.0
2025-12-17,13458.0
2025-12-24,13461.0
2025-12-31,13466.0
2026-01-07,13469.0
2026-01-14,13473.0
2026-01-21,13477.0
2026-01-28,13468.0
2026-02-04,12695.0
2026-02-11,12733.0
2026-02-18,12823.0
2026-02-25,12861.0
2026-03-04,12864.0
2026-03-11,12834.0
2026-03-18,12838.0
2026-03-25,12841.0
2026-04-01,12845.0
2026-04-08,12849.0
2026-04-15,12852.0
2026-04-22,12836.0
2026-04-29,12839.0
2026-05-06,12843.0
2026-05-13,12847.0
2026-05-20,12850.0
2026-05-27,12854.0
2026-06-03,12844.0
2026-06-10,12796.0
2026-06-17,12800.0
2026-06-24,12855.0
2026-07-01,12953.0
2026-07-08,13003.0
2026-07-15,13156.0
2026-07-22,12697.0
2026-07-29,12768.0
2026-08-05,12767.0
2026-08-12,12771.0
2026-08-19,12775.0
2026-08-26,12779.0
2026-09-02,12779.0
