date,maturity,coupon,face
2019-06-30,2022-07-15,5.75,24999.709
2019-06-30,2022-11-21,2.25,16500
2019-06-30,2023-04-21,5.5,25199.709
2019-06-30,2024-04-21,2.75,27600
2019-06-30,2025-04-21,3.25,27900
2019-06-30,2026-04-21,4.25,32400
2019-06-30,2027-04-21,4.75,29699.566
2019-06-30,2027-11-21,2.75,28000
2019-06-30,2028-05-21,2.25,28200
2019-06-30,2028-11-21,2.75,25600
2019-06-30,2029-04-21,3.25,26999.803
2019-06-30,2029-11-21,2.75,22600
2019-06-30,2030-05-21,2.5,19600
2019-06-30,2031-06-21,1.5,5000
2019-06-30,2033-04-21,4.5,13900
2019-06-30,2035-06-21,2.75,7750
2019-06-30,2037-04-21,3.75,12000
2019-06-30,2039-06-21,3.25,8700
2019-06-30,2041-05-21,2.75,3600
2019-06-30,2047-03-21,3,13000
2019-07-31,2019-10-21,2.75,14932.318
2019-07-31,2020-04-15,4.5,19361.716
2019-07-31,2020-11-21,1.75,21441
2019-07-31,2021-05-15,5.75,28465.464
2019-07-31,2021-12-21,2,17800
2019-07-31,2022-07-15,5.75,24999.709
2019-07-31,2022-11-21,2.25,16500
2019-07-31,2023-04-21,5.5,25199.709
2019-07-31,2024-04-21,2.75,27600
2019-07-31,2025-04-21,3.25,27900
2019-07-31,2026-04-21,4.25,32400
2019-07-31,2027-04-21,4.75,29699.566
2019-07-31,2027-11-21,2.75,28000
2019-07-31,2028-05-21,2.25,28200
2019-07-31,2028-11-21,2.75,25600
2019-07-31,2029-04-21,3.25,27599.803
2019-07-31,2029-11-21,2.75,22600
2019-07-31,2030-05-21,2.5,20400
2019-07-31,2031-06-21,1.5,7400
2019-07-31,2033-04-21,4.5,13900
2019-07-31,2035-06-21,2.75,7750
2019-07-31,2037-04-21,3.75,12000
2019-07-31,2039-06-21,3.25,8700
2019-07-31,2041-05-21,2.75,4000
2019-07-31,2047-03-21,3,13000
2019-08-31,2019-10-21,2.75,14932.318
2019-08-31,2020-04-15,4.5,19361.716
2019-08-31,2020-11-21,1.75,20919
2019-08-31,2021-05-15,5.75,27587.464
2019-08-31,2021-12-21,2,17800
2019-08-31,2022-07-15,5.75,24999.709
2019-08-31,2022-11-21,2.25,16500
2019-08-31,2023-04-21,5.5,25199.709
2019-08-31,2024-04-21,2.75,27600
2019-08-31,2025-04-21,3.25,27900
2019-08-31,2026-04-21,4.25,32400
2019-08-31,2027-04-21,4.75,29699.566
2019-08-31,2027-11-21,2.75,28000
2019-08-31,2028-05-21,2.25,28200
2019-08-31,2028-11-21,2.75,25600
2019-08-31,2029-04-21,3.25,28399.803
2019-08-31,2029-11-21,2.75,23000
2019-08-31,2030-05-21,2.5,22000
2019-08-31,2031-06-21,1.5,9000
2019-08-31,2033-04-21,4.5,13900
2019-08-31,2035-06-21,2.75,7750
2019-08-31,2037-04-21,3.75,12000
2019-08-31,2039-06-21,3.25,9100
2019-08-31,2041-05-21,2.75,4300
2019-08-31,2047-03-21,3,13000
2019-09-30,2019-10-21,2.75,14932.318
2019-09-30,2020-04-15,4.5,19361.716
2019-09-30,2020-11-21,1.75,19786
2019-09-30,2021-05-15,5.75,26920.464
2019-09-30,2021-12-21,2,17800
2019-09-30,2022-07-15,5.75,24999.709
2019-09-30,2022-11-21,2.25,16500
2019-09-30,2023-04-21,5.5,25199.709
2019-09-30,2024-04-21,2.75,27600
2019-09-30,2025-04-21,3.25,27900
2019-09-30,2026-04-21,4.25,32400
2019-09-30,2027-04-21,4.75,29699.566
2019-09-30,2027-11-21,2.75,28000
2019-09-30,2028-05-21,2.25,28200
2019-09-30,2028-11-21,2.75,25600
2019-09-30,2029-04-21,3.25,28799.803
2019-09-30,2029-11-21,2.75,24000
2019-09-30,2030-05-21,2.5,23600
2019-09-30,2031-06-21,1.5,11000
2019-09-30,2033-04-21,4.5,13900
2019-09-30,2035-06-21,2.75,7750
2019-09-30,2037-04-21,3.75,12000
2019-09-30,2039-06-21,3.25,9100
2019-09-30,2041-05-21,2.75,4300
2019-09-30,2047-03-21,3,13000
2019-10-31,2020-04-15,4.5,19361.716
2019-10-31,2020-11-21,1.75,19179
2019-10-31,2021-05-15,5.75,26827.464
2019-10-31,2021-12-21,2,17800
2019-10-31,2022-07-15,5.75,24999.709
2019-10-31,2022-11-21,2.25,16500
2019-10-31,2023-04-21,5.5,25199.709
2019-10-31,2024-04-21,2.75,27600
2019-10-31,2025-04-21,3.25,27900
2019-10-31,2026-04-21,4.25,32400
2019-10-31,2027-04-21,4.75,29699.566
2019-10-31,2027-11-21,2.75,28000
2019-10-31,2028-05-21,2.25,28200
2019-10-31,2028-11-21,2.75,25600
2019-10-31,2029-04-21,3.25,29199.803
2019-10-31,2029-11-21,2.75,25600
2019-10-31,2030-05-21,2.5,24400
2019-10-31,2031-06-21,1.5,12200
2019-10-31,2033-04-21,4.5,13900
2019-10-31,2035-06-21,2.75,7750
2019-10-31,2037-04-21,3.75,12000
2019-10-31,2039-06-21,3.25,9100
2019-10-31,2041-05-21,2.75,4600
2019-10-31,2047-03-21,3,13000
2019-11-30,2020-04-15,4.5,19361.716
2019-11-30,2020-11-21,1.75,18121
2019-11-30,2021-05-15,5.75,26485.464
2019-11-30,2021-12-21,2,17800
2019-11-30,2022-07-15,5.75,24999.709
2019-11-30,2022-11-21,2.25,16500
2019-11-30,2023-04-21,5.5,25199.709
2019-11-30,2024-04-21,2.75,28000
2019-11-30,2025-04-21,3.25,27900
2019-11-30,2026-04-21,4.25,32400
2019-11-30,2027-04-21,4.75,29699.566
2019-11-30,2027-11-21,2.75,28000
2019-11-30,2028-05-21,2.25,28700
2019-11-30,2028-11-21,2.75,25600
2019-11-30,2029-04-21,3.25,29199.803
2019-11-30,2029-11-21,2.75,26100
2019-11-30,2030-05-21,2.5,26000
2019-11-30,2031-06-21,1.5,15000
2019-11-30,2033-04-21,4.5,13900
2019-11-30,2035-06-21,2.75,7750
2019-11-30,2037-04-21,3.75,12000
2019-11-30,2039-06-21,3.25,9100
2019-11-30,2041-05-21,2.75,4600
2019-11-30,2047-03-21,3,13000
2019-12-31,2020-04-15,4.5,19361.716
2019-12-31,2020-11-21,1.75,17821
2019-12-31,2021-05-15,5.75,26485.324
2019-12-31,2021-12-21,2,17800
2019-12-31,2022-07-15,5.75,24999.709
2019-12-31,2022-11-21,2.25,16500
2019-12-31,2023-04-21,5.5,25199.709
2019-12-31,2024-04-21,2.75,28500
2019-12-31,2025-04-21,3.25,27900
2019-12-31,2026-04-21,4.25,32400
2019-12-31,2027-04-21,4.75,29699.566
2019-12-31,2027-11-21,2.75,28000
2019-12-31,2028-05-21,2.25,28700
2019-12-31,2028-11-21,2.75,25600
2019-12-31,2029-04-21,3.25,29999.803
2019-12-31,2029-11-21,2.75,26100
2019-12-31,2030-05-21,2.5,26000
2019-12-31,2031-06-21,1.5,16200
2019-12-31,2033-04-21,4.5,13900
2019-12-31,2035-06-21,2.75,7750
2019-12-31,2037-04-21,3.75,12000
2019-12-31,2039-06-21,3.25,9100
2019-12-31,2041-05-21,2.75,4600
2019-12-31,2047-03-21,3,13300
2020-01-31,2020-04-15,4.5,19361.716
2020-01-31,2020-11-21,1.75,17721
2020-01-31,2021-05-15,5.75,26384.324
2020-01-31,2021-12-21,2,17501
2020-01-31,2022-07-15,5.75,24999.709
2020-01-31,2022-11-21,2.25,16500
2020-01-31,2023-04-21,5.5,25199.709
2020-01-31,2024-04-21,2.75,28900
2020-01-31,2025-04-21,3.25,27900
2020-01-31,2026-04-21,4.25,32400
2020-01-31,2027-04-21,4.75,29699.566
2020-01-31,2027-11-21,2.75,28000
2020-01-31,2028-05-21,2.25,28700
2020-01-31,2028-11-21,2.75,25600
2020-01-31,2029-04-21,3.25,29999.803
2020-01-31,2029-11-21,2.75,26900
2020-01-31,2030-05-21,2.5,26000
2020-01-31,2031-06-21,1.5,16200
2020-01-31,2032-05-21,1.25,3500
2020-01-31,2033-04-21,4.5,13900
2020-01-31,2035-06-21,2.75,7750
2020-01-31,2037-04-21,3.75,12000
2020-01-31,2039-06-21,3.25,9100
2020-01-31,2041-05-21,2.75,4600
2020-01-31,2047-03-21,3,13300
2020-02-29,2020-04-15,4.5,19361.716
2020-02-29,2020-11-21,1.75,17721
2020-02-29,2021-05-15,5.75,26095.324
2020-02-29,2021-12-21,2,16890
2020-02-29,2022-07-15,5.75,24999.708
2020-02-29,2022-11-21,2.25,16500
2020-02-29,2023-04-21,5.5,25199.708
2020-02-29,2024-04-21,2.75,28900
2020-02-29,2025-04-21,3.25,27900
2020-02-29,2026-04-21,4.25,32400
2020-02-29,2027-04-21,4.75,29699.566
2020-02-29,2027-11-21,2.75,28000
2020-02-29,2028-05-21,2.25,28700
2020-02-29,2028-11-21,2.75,25600
2020-02-29,2029-04-21,3.25,29999.803
2020-02-29,2029-11-21,2.75,26900
2020-02-29,2030-05-21,2.5,27300
2020-02-29,2031-06-21,1.5,17000
2020-02-29,2032-05-21,1.25,6000
2020-02-29,2033-04-21,4.5,14300
2020-02-29,2035-06-21,2.75,7750
2020-02-29,2037-04-21,3.75,12000
2020-02-29,2039-06-21,3.25,9100
2020-02-29,2041-05-21,2.75,6600
2020-02-29,2047-03-21,3,13300
2020-03-31,2020-04-15,4.5,19361.716
2020-03-31,2020-11-21,1.75,17721
2020-03-31,2021-05-15,5.75,25824.324
2020-03-31,2021-12-21,2,16398
2020-03-31,2022-07-15,5.75,24762.708
2020-03-31,2022-11-21,2.25,16500
2020-03-31,2023-04-21,5.5,25199.708
2020-03-31,2024-04-21,2.75,28900
2020-03-31,2025-04-21,3.25,27900
2020-03-31,2026-04-21,4.25,32400
2020-03-31,2027-04-21,4.75,29699.566
2020-03-31,2027-11-21,2.75,28000
2020-03-31,2028-05-21,2.25,28700
2020-03-31,2028-11-21,2.75,25600
2020-03-31,2029-04-21,3.25,29999.803
2020-03-31,2029-11-21,2.75,26900
2020-03-31,2030-05-21,2.5,27300
2020-03-31,2031-06-21,1.5,18000
2020-03-31,2032-05-21,1.25,7700
2020-03-31,2033-04-21,4.5,14300
2020-03-31,2035-06-21,2.75,7750
2020-03-31,2037-04-21,3.75,12000
2020-03-31,2039-06-21,3.25,9100
2020-03-31,2041-05-21,2.75,6600
2020-03-31,2047-03-21,3,13300
2020-04-30,2020-11-21,1.75,17721
2020-04-30,2021-05-15,5.75,25824.324
2020-04-30,2021-12-21,2,16398
2020-04-30,2022-07-15,5.75,24762.708
2020-04-30,2022-11-21,2.25,22500
2020-04-30,2023-04-21,5.5,28699.708
2020-04-30,2024-04-21,2.75,28900
2020-04-30,2024-11-21,0.25,13000
2020-04-30,2025-04-21,3.25,27900
2020-04-30,2026-04-21,4.25,32400
2020-04-30,2027-04-21,4.75,29699.566
2020-04-30,2027-11-21,2.75,28000
2020-04-30,2028-05-21,2.25,28700
2020-04-30,2028-11-21,2.75,25600
2020-04-30,2029-04-21,3.25,29999.803
2020-04-30,2029-11-21,2.75,26900
2020-04-30,2030-05-21,2.5,29400
2020-04-30,2031-06-21,1.5,19000
2020-04-30,2032-05-21,1.25,11200
2020-04-30,2033-04-21,4.5,14300
2020-04-30,2035-06-21,2.75,7750
2020-04-30,2037-04-21,3.75,12000
2020-04-30,2039-06-21,3.25,9100
2020-04-30,2041-05-21,2.75,6600
2020-04-30,2047-03-21,3,13300
2020-05-31,2020-11-21,1.75,17721
2020-05-31,2021-05-15,5.75,25824.324
2020-05-31,2021-12-21,2,16398
2020-05-31,2022-07-15,5.75,24762.708
2020-05-31,2022-11-21,2.25,24500
2020-05-31,2023-04-21,5.5,30199.708
2020-05-31,2024-04-21,2.75,30900
2020-05-31,2024-11-21,0.25,18000
2020-05-31,2025-04-21,3.25,29400
2020-05-31,2026-04-21,4.25,32400
2020-05-31,2027-04-21,4.75,29699.566
2020-05-31,2027-11-21,2.75,28000
2020-05-31,2028-05-21,2.25,29700
2020-05-31,2028-11-21,2.75,25600
2020-05-31,2029-04-21,3.25,29999.803
2020-05-31,2029-11-21,2.75,26900
2020-05-31,2030-05-21,2.5,31400
2020-05-31,2030-12-21,1,19000
2020-05-31,2031-06-21,1.5,21500
2020-05-31,2032-05-21,1.25,13200
2020-05-31,2033-04-21,4.5,14300
2020-05-31,2035-06-21,2.75,7750
2020-05-31,2037-04-21,3.75,12000
2020-05-31,2039-06-21,3.25,9100
2020-05-31,2041-05-21,2.75,6600
2020-05-31,2047-03-21,3,13300
2020-06-30,2020-11-21,1.75,17721
2020-06-30,2021-05-15,5.75,25824.324
2020-06-30,2021-12-21,2,16398
2020-06-30,2022-07-15,5.75,24762.708
2020-06-30,2022-11-21,2.25,24500
2020-06-30,2023-04-21,5.5,32199.708
2020-06-30,2024-04-21,2.75,32900
2020-06-30,2024-11-21,0.25,20000
2020-06-30,2025-04-21,3.25,32400
2020-06-30,2026-04-21,4.25,33400
2020-06-30,2027-04-21,4.75,29699.566
2020-06-30,2027-11-21,2.75,28000
2020-06-30,2028-05-21,2.25,29700
2020-06-30,2028-11-21,2.75,25600
2020-06-30,2029-04-21,3.25,31999.803
2020-06-30,2029-11-21,2.75,28900
2020-06-30,2030-05-21,2.5,31400
2020-06-30,2030-12-21,1,21000
2020-06-30,2031-06-21,1.5,21500
2020-06-30,2032-05-21,1.25,16200
2020-06-30,2033-04-21,4.5,14300
2020-06-30,2035-06-21,2.75,7750
2020-06-30,2037-04-21,3.75,12000
2020-06-30,2039-06-21,3.25,9100
2020-06-30,2041-05-21,2.75,6600
2020-06-30,2047-03-21,3,13300
2020-07-31,2020-11-21,1.75,17721
2020-07-31,2021-05-15,5.75,25824.324
2020-07-31,2021-12-21,2,16398
2020-07-31,2022-07-15,5.75,24762.708
2020-07-31,2022-11-21,2.25,26500
2020-07-31,2023-04-21,5.5,34199.708
2020-07-31,2024-04-21,2.75,32900
2020-07-31,2024-11-21,0.25,22000
2020-07-31,2025-04-21,3.25,32400
2020-07-31,2025-11-21,0.25,17000
2020-07-31,2026-04-21,4.25,33400
2020-07-31,2027-04-21,4.75,29699.566
2020-07-31,2027-11-21,2.75,28000
2020-07-31,2028-05-21,2.25,29700
2020-07-31,2028-11-21,2.75,27600
2020-07-31,2029-04-21,3.25,31999.803
2020-07-31,2029-11-21,2.75,30900
2020-07-31,2030-05-21,2.5,33400
2020-07-31,2030-12-21,1,21000
2020-07-31,2031-06-21,1.5,22500
2020-07-31,2032-05-21,1.25,16200
2020-07-31,2033-04-21,4.5,14300
2020-07-31,2035-06-21,2.75,7750
2020-07-31,2037-04-21,3.75,12000
2020-07-31,2039-06-21,3.25,9100
2020-07-31,2041-05-21,2.75,6600
2020-07-31,2047-03-21,3,13300
2020-08-31,2020-11-21,1.75,17721
2020-08-31,2021-05-15,5.75,25824.324
2020-08-31,2021-12-21,2,16398
2020-08-31,2022-07-15,5.75,24762.708
2020-08-31,2022-11-21,2.25,26500
2020-08-31,2023-04-21,5.5,34199.708
2020-08-31,2024-04-21,2.75,32900
2020-08-31,2024-11-21,0.25,26000
2020-08-31,2025-04-21,3.25,32400
2020-08-31,2025-11-21,0.25,20000
2020-08-31,2026-04-21,4.25,33400
2020-08-31,2027-04-21,4.75,29699.566
2020-08-31,2027-11-21,2.75,28000
2020-08-31,2028-05-21,2.25,29700
2020-08-31,2028-11-21,2.75,29600
2020-08-31,2029-04-21,3.25,31999.803
2020-08-31,2029-11-21,2.75,30900
2020-08-31,2030-05-21,2.5,33400
2020-08-31,2030-12-21,1,24700
2020-08-31,2031-06-21,1.5,22500
2020-08-31,2032-05-21,1.25,16200
2020-08-31,2033-04-21,4.5,14300
2020-08-31,2035-06-21,2.75,8550
2020-08-31,2037-04-21,3.75,12000
2020-08-31,2039-06-21,3.25,9100
2020-08-31,2041-05-21,2.75,6600
2020-08-31,2047-03-21,3,13300
2020-08-31,2051-06-21,1.75,15000
2020-09-30,2020-11-21,1.75,17721
2020-09-30,2021-05-15,5.75,25824.324
2020-09-30,2021-12-21,2,16398
2020-09-30,2022-07-15,5.75,24762.708
2020-09-30,2022-11-21,2.25,26500
2020-09-30,2023-04-21,5.5,34199.708
2020-09-30,2024-04-21,2.75,32900
2020-09-30,2024-11-21,0.25,28000
2020-09-30,2025-04-21,3.25,32400
2020-09-30,2025-11-21,0.25,22000
2020-09-30,2026-04-21,4.25,33400
2020-09-30,2026-09-21,0.5,25000
2020-09-30,2027-04-21,4.75,29699.566
2020-09-30,2027-11-21,2.75,28000
2020-09-30,2028-05-21,2.25,29700
2020-09-30,2028-11-21,2.75,29600
2020-09-30,2029-04-21,3.25,31999.803
2020-09-30,2029-11-21,2.75,32900
2020-09-30,2030-05-21,2.5,35400
2020-09-30,2030-12-21,1,24700
2020-09-30,2031-06-21,1.5,24500
2020-09-30,2031-11-21,1,21000
2020-09-30,2032-05-21,1.25,16200
2020-09-30,2033-04-21,4.5,14300
2020-09-30,2035-06-21,2.75,8550
2020-09-30,2037-04-21,3.75,12000
2020-09-30,2039-06-21,3.25,9100
2020-09-30,2041-05-21,2.75,6600
2020-09-30,2047-03-21,3,13300
2020-09-30,2051-06-21,1.75,15000
2020-10-31,2020-11-21,1.75,17721
2020-10-31,2021-05-15,5.75,25824.324
2020-10-31,2021-12-21,2,16398
2020-10-31,2022-07-15,5.75,24762.708
2020-10-31,2022-11-21,2.25,26500
2020-10-31,2023-04-21,5.5,34199.708
2020-10-31,2024-04-21,2.75,32900
2020-10-31,2024-11-21,0.25,29000
2020-10-31,2025-04-21,3.25,32400
2020-10-31,2025-11-21,0.25,23500
2020-10-31,2026-04-21,4.25,33400
2020-10-31,2026-09-21,0.5,26500
2020-10-31,2027-04-21,4.75,29699.566
2020-10-31,2027-11-21,2.75,28000
2020-10-31,2028-05-21,2.25,29700
2020-10-31,2028-11-21,2.75,31100
2020-10-31,2029-04-21,3.25,31999.803
2020-10-31,2029-11-21,2.75,32900
2020-10-31,2030-05-21,2.5,35400
2020-10-31,2030-12-21,1,28700
2020-10-31,2031-06-21,1.5,24500
2020-10-31,2031-11-21,1,23500
2020-10-31,2032-05-21,1.25,18700
2020-10-31,2033-04-21,4.5,14300
2020-10-31,2035-06-21,2.75,8550
2020-10-31,2037-04-21,3.75,12000
2020-10-31,2039-06-21,3.25,9600
2020-10-31,2041-05-21,2.75,6600
2020-10-31,2047-03-21,3,13300
2020-10-31,2051-06-21,1.75,15000
2020-11-30,2021-05-15,5.75,25824.324
2020-11-30,2021-12-21,2,16398
2020-11-30,2022-07-15,5.75,24762.708
2020-11-30,2022-11-21,2.25,26500
2020-11-30,2023-04-21,5.5,34199.708
2020-11-30,2024-04-21,2.75,32900
2020-11-30,2024-11-21,0.25,29000
2020-11-30,2025-04-21,3.25,32400
2020-11-30,2025-11-21,0.25,25000
2020-11-30,2026-04-21,4.25,33400
2020-11-30,2026-09-21,0.5,26500
2020-11-30,2027-04-21,4.75,30699.566
2020-11-30,2027-11-21,2.75,28000
2020-11-30,2028-05-21,2.25,29700
2020-11-30,2028-11-21,2.75,31100
2020-11-30,2029-04-21,3.25,31999.803
2020-11-30,2029-11-21,2.75,32900
2020-11-30,2030-05-21,2.5,35400
2020-11-30,2030-12-21,1,30700
2020-11-30,2031-06-21,1.5,26500
2020-11-30,2031-11-21,1,26000
2020-11-30,2032-05-21,1.25,20700
2020-11-30,2033-04-21,4.5,14300
2020-11-30,2035-06-21,2.75,8550
2020-11-30,2037-04-21,3.75,12000
2020-11-30,2039-06-21,3.25,9600
2020-11-30,2041-05-21,2.75,12600
2020-11-30,2047-03-21,3,13300
2020-11-30,2051-06-21,1.75,15000
2020-12-31,2021-05-15,5.75,25824.324
2020-12-31,2021-12-21,2,16398
2020-12-31,2022-07-15,5.75,24762.708
2020-12-31,2022-11-21,2.25,26500
2020-12-31,2023-04-21,5.5,34199.708
2020-12-31,2024-04-21,2.75,32900
2020-12-31,2024-11-21,0.25,29000
2020-12-31,2025-04-21,3.25,32400
2020-12-31,2025-11-21,0.25,26500
2020-12-31,2026-04-21,4.25,33400
2020-12-31,2026-09-21,0.5,28000
2020-12-31,2027-04-21,4.75,30699.566
2020-12-31,2027-11-21,2.75,28000
2020-12-31,2028-05-21,2.25,29700
2020-12-31,2028-11-21,2.75,31100
2020-12-31,2029-04-21,3.25,31999.803
2020-12-31,2029-11-21,2.75,32900
2020-12-31,2030-05-21,2.5,35400
2020-12-31,2030-12-21,1,32700
2020-12-31,2031-06-21,1.5,26500
2020-12-31,2031-11-21,1,28000
2020-12-31,2032-05-21,1.25,20700
2020-12-31,2033-04-21,4.5,14300
2020-12-31,2035-06-21,2.75,8550
2020-12-31,2037-04-21,3.75,12000
2020-12-31,2039-06-21,3.25,9600
2020-12-31,2041-05-21,2.75,12600
2020-12-31,2047-03-21,3,13300
2020-12-31,2051-06-21,1.75,15000
2021-01-31,2021-05-15,5.75,25823.805
2021-01-31,2021-12-21,2,16398
2021-01-31,2022-07-15,5.75,24762.708
2021-01-31,2022-11-21,2.25,26500
2021-01-31,2023-04-21,5.5,34199.708
2021-01-31,2024-04-21,2.75,32900
2021-01-31,2024-11-21,0.25,29000
2021-01-31,2025-04-21,3.25,33100
2021-01-31,2025-11-21,0.25,26500
2021-01-31,2026-04-21,4.25,33400
2021-01-31,2026-09-21,0.5,28000
2021-01-31,2027-04-21,4.75,30699.566
2021-01-31,2027-11-21,2.75,28000
2021-01-31,2028-05-21,2.25,29700
2021-01-31,2028-11-21,2.75,31100
2021-01-31,2029-04-21,3.25,31999.803
2021-01-31,2029-11-21,2.75,32900
2021-01-31,2030-05-21,2.5,35400
2021-01-31,2030-12-21,1,32700
2021-01-31,2031-06-21,1.5,28300
2021-01-31,2031-11-21,1,28000
2021-01-31,2032-05-21,1.25,20700
2021-01-31,2033-04-21,4.5,14300
2021-01-31,2035-06-21,2.75,8550
2021-01-31,2037-04-21,3.75,12000
2021-01-31,2039-06-21,3.25,9600
2021-01-31,2041-05-21,2.75,12600
2021-01-31,2047-03-21,3,13300
2021-01-31,2051-06-21,1.75,15000
2021-02-28,2021-05-15,5.75,25823.805
2021-02-28,2021-12-21,2,16398
2021-02-28,2022-07-15,5.75,24762.708
2021-02-28,2022-11-21,2.25,26500
2021-02-28,2023-04-21,5.5,34199.708
2021-02-28,2024-04-21,2.75,32900
2021-02-28,2024-11-21,0.25,31500
2021-02-28,2025-04-21,3.25,33100
