date,tender,maturity,coupon,offered,allotted,bids,coverage,wa_yield,low_yield,high_yield,highest_bid_yield,tail_bp
1992-05-14,TB57,2003-08-15,9.5,700000000.0,894128000.0,2683528000.0,3.87,9.343,9.23,9.35,9.7,0.7
1992-06-16,TB58,1994-09-15,12.5,400000000.0,400000000.0,1887000000.0,4.72,6.904,6.9,6.92,7.2,1.6
1992-06-16,TB58,2003-08-15,9.5,600000000.0,601000000.0,1564000000.0,2.6,8.99,8.96,9.0,9.5,1.0
1992-07-14,TB59,1995-09-15,10.5,300000000.0,500000000.0,930000000.0,3.1,6.709,6.7,6.73,7.0,2.1
1992-07-14,TB59,1997-09-15,12.5,600000000.0,602000000.0,1686155000.0,2.8,7.579,7.53,7.59,7.9,1.1
1992-08-04,TB60,1998-08-15,7,600000000.0,798000000.0,1459000000.0,2.44,7.605,7.53,7.63,8.15,2.5
1992-08-04,TB60,2003-08-15,9.5,300000000.0,300194000.0,1477194000.0,4.92,8.45,8.37,8.46,8.75,1.0
1992-09-03,TB61,1998-08-15,7,400000000.0,500000000.0,1085000000.0,2.71,8.47,8.47,8.47,8.94,0.0
1992-09-03,TB61,2003-08-15,9.5,400000000.0,500000000.0,1598050000.0,4.0,8.865,8.86,8.87,10.22,0.5
1992-09-17,TB62,1998-08-15,7,400000000.0,500000000.0,494000000.0,1.24,8.675,8.61,8.85,9.02,17.5
1992-09-17,TB62,2003-08-15,9.5,500000000.0,501485000.0,1430485000.0,2.85,9.081,9.05,9.1,9.54,1.9
1992-10-01,TB63,1995-09-15,10.5,400000000.0,399000000.0,1376000000.0,3.45,7.929,7.89,7.95,8.5,2.1
1992-10-01,TB63,2002-10-15,10,400000000.0,400570000.0,866570000.0,2.16,9.149,9.08,9.2,10.09,5.1
1992-10-15,TB64,1997-09-15,12.5,400000000.0,396000000.0,1352000000.0,3.41,8.028,7.99,8.05,8.4,2.2
1992-10-15,TB64,2003-08-15,9.5,300000000.0,300100000.0,1742700000.0,5.81,8.78,8.76,8.78,9.2,0.0
1992-11-05,TB65,1997-03-15,12.5,300000000.0,297600000.0,1024600000.0,3.44,8.168,8.13,8.19,8.47,2.2
1992-11-05,TB65,2002-10-15,10,500000000.0,498790000.0,1484790000.0,2.98,8.953,8.92,8.98,9.5,2.7
1992-11-19,TB66,1998-08-15,7,300000000.0,300820000.0,1348820000.0,4.48,8.511,8.5,8.52,8.75,0.9
1992-11-19,TB66,2004-09-15,9,600000000.0,797000000.0,2404000000.0,4.03,9.082,9.04,9.1,10.0,1.8
1992-12-03,TB67,1995-04-15,12.5,300000000.0,300500000.0,917500000.0,3.05,7.412,7.39,7.44,9.0,2.8
1992-12-03,TB67,2004-09-15,9,300000000.0,297000000.0,1399000000.0,4.71,9.043,9.0,9.06,9.4,1.7
1992-12-17,TB68,1995-04-15,12.5,300000000.0,302083000.0,1050317000.0,3.48,7.261,7.24,7.27,7.45,0.9
1992-12-17,TB68,1998-08-15,7,200000000.0,199860000.0,860940000.0,4.31,8.48,8.45,8.48,8.65,0.0
1992-12-17,TB68,2004-09-15,9,300000000.0,302800000.0,1412800000.0,4.67,9.09,9.06,9.1,9.35,1.0
1993-01-21,TB69,1999-07-15,12,300000000.0,299400000.0,905400000.0,3.02,8.572,8.55,8.59,8.75,1.8
1993-01-21,TB69,2004-09-15,9,600000000.0,601470000.0,1714470000.0,2.85,9.023,8.99,9.05,9.5,2.7
1993-02-04,TB70,1996-07-15,13,300000000.0,300000000.0,1897000000.0,6.32,7.685,7.68,7.69,7.95,0.5
1993-02-04,TB70,2000-07-15,13,200000000.0,198000000.0,660000000.0,3.33,8.506,8.48,8.52,8.75,1.4
1993-02-04,TB70,2004-09-15,9,500000000.0,504150000.0,2002150000.0,3.97,8.819,8.8,8.83,9.0,1.1
