date,GFG,D,RIWF,IZ,W,IG,FI,WSF,UA,T0,N,GB,VB,GBI,US,UT,SP,RE,T1,FRGSF,VRGSF,VF,GD,FRGUSD,GSGSF,ES,DS,AIWFS
2001-07,35956.02282864,50590.90910467,2474.26559498,545.45814744,366.75853538,,14.86936955,5667.84155353,1156.42323829,115182.91061581,33301.99213,3321.13365881,5924.63405592,263.31142383,208.26244309,0,480.82252911,70884.03135486,115182.91061581,18410.36224333,0,803.48466798,,,,,,
2001-08,35696.32070986,51848.90326499,2411.09890792,517.94735524,366.75853538,,50.5510334,5820.29026137,1104.27251174,116828.50482323,33104.14872,3709.91943319,6357.40090342,237.35507852,232.02107501,0,480.34274607,71208.92063561,116828.50482323,19012.36224333,0,1501.81881634,,,,,,
2001-09,34291.85920404,49403.14163881,2598.38577235,312.84047259,339.18796824,,21.15756295,5968.94135198,1347.0694183,114516.39625982,33583.74228,5744.96909308,5436.96313446,275.03586444,194.79129175,0,209.92891937,68418.70353919,114516.39625982,20233.81287056,0,652.26213753,,,,,,
2001-10,33909.28267543,49716.6573682,2588.24237088,259.10059677,339.18796824,,9.78873,6005.09275524,1502.44423402,109337.60956934,33961.96198,2888.01041197,2319.92893629,271.59003589,222.38349687,0,210.03190857,68575.85742224,109337.60956934,15007.81287056,0.3679114,887.47746611,,,,,,
2001-11,33547.95157213,49751.26875564,2450.41306201,275.48881767,339.18796824,,15.99584475,6082.80857764,1370.44206475,110635.36953339,34980.15151,3375.44468188,1926.96591393,143.14947399,206.3503688,0,211.53321964,68915.45622348,110635.36953339,16801.81287056,0,876.31814167,,,,,,
2001-12,32982.36378009,50580.83552764,2665.71592877,476.26566612,347.17724891,,73.66535023,5999.9919545,1115.02877235,120153.13580361,39844.68936,6316.92372678,2406.00250035,629.82202316,182.72087489,0,323.36159153,68979.95464571,120153.13580361,25912.091575,0,1469.66108119,,,,,,
2002-01,32608.2552145,50729.4754433,2665.81592877,347.31814239,347.17724891,,13.56603085,6056.54039633,1143.07807718,113399.31805723,36188.195855,3396.63777877,2372.61792567,155.23834646,196.26274208,0,1831.71737529,67800.30993268,113399.31805723,19488.091575,0,1458.33810128,,,,,,
2002-02,32246.65022013,50575.08042108,2679.58254149,300.7075758,347.17724891,,21.18864765,5930.76025303,1209.15566759,112117.39415068,35875.684055,4073.5707364,1130.78618061,158.32430786,247.20414059,0,1831.35369994,68088.96130561,112117.39415068,18807.091575,0,711.50972467,,,,,,
2002-03,34906.21089005,51130.60501741,2561.98182663,274.00223648,340.59021734,,8.1085037,5949.75348066,1124.41358181,118808.69839352,36310.910405,5180.74290431,3242.08204184,206.77202102,197.65769625,0,1750.2244114,70058.00103992,118808.69839352,22513.03263944,0,1862.65787378,,,,,,
2002-04,34523.94403328,48402.59201598,2652.0166976,545.25582535,340.59021734,,16.63362495,6075.19274191,1128.80759404,115638.06538989,35668.617475,3892.72562184,5096.10012599,162.18121683,199.04812448,0,242.0569193,70193.64401595,115638.06538989,21953.03263944,0,184.04183998,,,,,,
2002-05,34125.19235747,49940.57218617,2494.53920296,444.74506212,340.59021734,,26.810109,6165.26586995,1140.26999284,119786.01763729,35297.236565,3737.5245434,8854.40693522,153.1238744,201.87364,0,239.46583427,70483.57830881,119786.01763729,25108.03263944,0,819.55771707,,,,,,
2002-06,31396.92942376,49408.94859733,2746.46404273,173.08928452,324.38846295,,13.5834898,6375.51489897,1567.26926124,122430.63920241,35360.22284,5926.23544819,12527.55930826,275.98089551,181.28058353,0,121.61872971,67615.33053624,122430.63920241,30424.45174111,0,423.16052086,,,,,,
2002-07,31009.62035527,50973.26903829,2653.96113099,183.17953336,324.38846295,,0.51437868,6445.09870666,1594.19424657,115995.67759388,35226.181565,3459.0738705,8461.51648325,170.37840705,178.57514989,0,124.80681321,67905.72182342,115995.67759388,22811.45174111,0,470.52295796,,,,,,
2002-08,30657.05636213,49968.81833698,2693.66391507,556.2874855,324.38846295,,1.44121034,6619.82378836,1600.4058615,116726.33716394,34778.015955,3103.04407658,10138.66213537,194.29071697,177.63428556,0,122.54880512,68196.52296224,116726.33716394,24304.45174111,0,16.71751122,,,,,,
