date,H0,H5,H7
2000-05-11,2.416,3.017674,
2000-05-12,2.180146,3.03069,
2000-05-15,1.664674,2.992726,
2000-05-16,1.671936,3.012958,
2000-05-17,1.738637,3.067173,
2000-05-18,1.705424,3.050417,
2000-05-19,1.213415,3.059828,
2000-05-22,1.593466,3.054504,
2000-05-23,1.57963,3.0225,
2000-05-24,1.573092,3.010179,
2000-05-25,1.951052,3.023556,
2000-05-26,2.053662,2.99875,
2000-05-29,2.13079,2.957143,
2000-05-30,2.201992,2.963422,
2000-05-31,3.047974,3.0315,
2000-06-02,2.314547,3.042326,
2000-06-05,2.553094,2.996875,
2000-06-06,2.625107,2.975,
2000-06-07,2.410891,2.963862,
2000-06-08,2.46,3.055778,
2000-06-09,2.425044,3.153846,
2000-06-13,2.450185,3.18,
2000-06-14,2.402941,3.233772,
2000-06-15,2.612383,3.289348,
2000-06-16,2.587357,3.268297,
2000-06-19,2.744341,3.291627,
2000-06-20,2.81606,3.333396,
2000-06-21,3.069956,3.353214,
2000-06-22,3.122718,3.355885,
2000-06-23,3.04363,3.319999,
2000-06-26,2.946251,3.25125,
2000-06-27,2.85877,3.274073,
2000-06-28,2.815601,3.231579,
2000-06-29,2.875806,3.206,2.3521
2000-06-30,3.054887,3.282,2.3751
2000-07-03,2.958875,3.276364,2.3797
2000-07-04,2.913708,3.282174,2.3844
2000-07-05,2.835484,3.290739,2.3912
2000-07-06,2.975427,3.255526,2.4019
2000-07-07,2.986327,3.248125,2.4381
2000-07-10,3.067712,3.261154,2.4491
2000-07-11,3.102404,3.287,2.456
2000-07-12,3.041537,3.284376,2.462
2000-07-13,3.140827,3.32574,2.4697
2000-07-14,3.096781,3.313,2.4951
2000-07-17,2.964339,3.320214,2.5015
2000-07-18,2.872953,3.339583,2.5047
2000-07-19,2.650688,3.341957,2.504
2000-07-20,2.570714,3.30253,2.505
2000-07-21,2.287425,3.2775,2.4985
2000-07-24,2.495077,3.283105,2.4859
2000-07-25,2.880392,3.27338,2.4879
2000-07-26,2.862463,3.277273,2.4893
2000-07-27,2.82322,3.276308,2.4906
2000-07-28,2.488813,3.297917,2.4911
2000-07-31,2.778948,3.286667,2.4945
2000-08-02,2.753639,3.290201,2.4957
2000-08-03,2.959441,3.291835,2.5004
2000-08-04,2.689464,3.2775,2.507
2000-08-07,2.731352,3.24323,2.5329
2000-08-08,2.736656,3.2465,2.5455
2000-08-09,2.779089,3.25625,2.5565
2000-08-10,2.715623,3.253113,2.5643
2000-08-11,2.668584,3.259032,2.5696
2000-08-14,2.645733,3.277089,2.5829
2000-08-15,2.801272,3.270556,2.5953
2000-08-16,2.960926,3.300356,2.6094
2000-08-17,3.008602,3.318889,2.6233
2000-08-18,2.803256,3.326875,2.6393
2000-08-21,2.958205,3.337765,2.6892
2000-08-22,3.000476,3.33,2.7046
2000-08-23,2.970702,3.377143,2.7198
2000-08-24,3.02134,3.374629,2.7357
2000-08-25,3.080585,3.38,2.7556
2000-08-28,2.98318,3.342071,2.7807
2000-08-29,2.722238,3.354111,2.7872
2000-08-30,2.961515,3.335,2.7955
2000-08-31,3.125945,3.344091,2.7933
2000-09-01,3.009264,3.303857,2.8009
2000-09-04,3.094728,3.307778,2.8197
2000-09-05,3.265351,3.319001,2.8275
2000-09-06,3.365626,3.358937,2.8356
2000-09-07,3.215611,3.350106,2.8444
2000-09-08,3.207,3.343698,2.8606
2000-09-11,3.075882,3.311755,2.8631
2000-09-12,2.979792,3.27125,2.8829
2000-09-13,2.851569,3.295493,2.8873
2000-09-14,2.890535,3.315,2.8926
2000-09-15,2.609503,3.278182,2.887
2000-09-18,2.942735,3.291885,2.897
2000-09-19,3.240348,3.332,2.9024
2000-09-20,3.268523,3.350695,2.9073
2000-09-21,3.118732,3.319629,2.9079
2000-09-22,3.380095,3.302593,2.9212
2000-09-25,3.229039,3.333332,2.9201
2000-09-26,3.143478,3.290836,2.9222
2000-09-27,3.064959,3.310322,2.9245
2000-09-28,3.02973,3.402,2.9272
2000-09-29,2.991287,3.3675,2.9251
2000-10-02,2.710021,3.385454,2.9229
2000-10-03,2.985408,3.404625,2.9232
2000-10-04,2.89655,3.377858,2.923
2000-10-05,2.987202,3.401786,2.9247
2000-10-06,3.029614,3.371,2.928
2000-10-09,2.932818,3.367964,2.9257
2000-10-10,3.147484,3.366539,2.9265
2000-10-11,3.07448,3.364501,2.9262
2000-10-12,3.176886,3.377031,2.9277
2000-10-13,2.962432,3.3052,2.927
2000-10-16,2.984742,3.342223,2.9216
2000-10-17,2.572793,3.331381,2.9173
2000-10-18,2.049932,3.209643,2.9083
2000-10-19,2.358518,3.321052,2.9051
2000-10-20,3.044574,3.30625,2.9136
2000-10-23,3.075191,3.346667,2.9355
2000-10-24,3.030728,3.335883,2.9413
2000-10-25,2.883895,3.305135,2.9414
2000-10-26,2.744303,3.3075,2.9401
2000-10-27,2.67578,3.3225,2.9333
2000-10-30,2.800372,3.36,2.946
2000-10-31,2.967391,3.355,2.9497
2000-11-01,3.115234,3.337083,2.9517
2000-11-02,3.199311,3.333333,2.9566
2000-11-03,3.137184,3.343333,2.9629
2000-11-06,2.960933,3.341365,2.9713
2000-11-07,2.938155,3.332388,2.9736
2000-11-08,2.879066,3.330556,2.9752
2000-11-09,2.948063,3.345238,2.977
2000-11-10,2.78338,3.370589,2.9741
2000-11-13,3.098597,3.327222,2.985
2000-11-14,3.001945,3.321334,2.9889
2000-11-15,3.004407,3.309524,2.9911
2000-11-16,2.897852,3.317144,2.9904
2000-11-17,3.031109,3.338094,2.992
2000-11-20,3.035787,3.370145,2.9982
2000-11-21,3.04398,3.331463,2.9991
2000-11-22,3.057191,3.347922,2.9998
2000-11-23,3.153281,3.408113,3.0018
2000-11-24,3.018908,3.412518,3.0026
2000-11-27,2.950608,3.387442,2.999
2000-11-28,2.769739,3.380816,2.9966
2000-11-29,2.863072,3.366413,2.9983
2000-11-30,2.955805,3.292282,2.9964
2000-12-01,2.896781,3.289375,2.9927
2000-12-04,3.023895,3.296429,2.9919
2000-12-05,3.009965,3.316249,2.9891
2000-12-06,3.152278,3.333942,2.9867
2000-12-07,3.118509,3.310116,2.9856
2000-12-08,2.947058,3.292308,2.977
2000-12-11,2.977151,3.28541,2.9759
2000-12-12,3.002883,3.266789,2.9762
2000-12-13,3.050913,3.228524,2.9784
2000-12-14,2.969703,3.204675,2.9793
2000-12-15,2.995336,3.191691,2.9921
2000-12-18,3.09579,3.20423,2.9938
2000-12-19,3.189179,3.199189,2.9932
2000-12-20,3.425199,3.23595,2.9949
2000-12-21,3.343118,3.20262,2.9974
2000-12-22,3.558872,3.233448,3.0133
2000-12-27,3.512197,3.253783,3.0165
2000-12-28,3.567609,3.259343,3.0225
2000-12-29,3.490226,3.250556,3.0493
2001-01-03,3.271376,3.198371,3.0559
2001-01-04,3.267585,3.190675,3.06
2001-01-05,3.433904,3.217679,3.0733
2001-01-08,3.387282,3.224131,3.0776
2001-01-09,3.519116,3.246786,3.0841
2001-01-10,3.349274,3.275593,3.0863
2001-01-11,3.261308,3.233298,3.0883
2001-01-12,3.317932,3.256014,3.0953
2001-01-15,3.359234,3.26,3.102
2001-01-16,3.353137,3.265193,3.106
2001-01-17,3.057299,3.271542,3.1113
2001-01-18,3.044714,3.251786,3.1222
2001-01-19,3.250342,3.261731,3.1351
2001-01-22,3.338446,3.255294,3.1397
2001-01-23,3.454585,3.281072,3.1439
2001-01-24,3.362189,3.286685,3.1475
2001-01-25,3.328047,3.274667,3.1524
2001-01-26,3.11083,3.255652,3.156
2001-01-29,3.22378,3.277273,3.1719
2001-01-30,3.302379,3.281538,3.1774
2001-01-31,3.308556,3.268333,3.1812
2001-02-01,3.304847,3.256757,3.1833
2001-02-02,3.439984,3.30087,3.1919
2001-02-05,3.416872,3.32461,3.1956
2001-02-06,3.457122,3.329,3.201
2001-02-07,3.450156,3.341333,3.2066
2001-02-08,3.44026,3.341874,3.2128
2001-02-09,3.388031,3.360334,3.2218
2001-02-12,3.312831,3.349389,3.2367
2001-02-13,3.269744,3.3575,3.2385
2001-02-14,3.339132,3.358346,3.2422
2001-02-15,3.043345,3.345442,3.2427
2001-02-16,3.089081,3.344285,3.242
2001-02-19,3.32701,3.360769,3.2493
2001-02-20,3.60678,3.363833,3.2555
2001-02-21,3.590181,3.360001,3.2615
2001-02-22,3.554592,3.38625,3.267
2001-02-23,3.142476,3.361905,3.2647
2001-02-26,3.153018,3.347408,3.271
2001-02-27,3.229688,3.355384,3.2837
2001-02-28,3.282052,3.335625,3.2874
2001-03-01,3.216059,3.295859,3.2869
2001-03-02,3.250693,3.299616,3.2987
2001-03-05,3.277749,3.291286,3.3044
2001-03-06,3.42099,3.298014,3.3074
2001-03-07,3.360252,3.31,3.3101
2001-03-08,3.431236,3.312825,3.3118
2001-03-09,3.557284,3.341499,3.3321
2001-03-12,3.475246,3.335263,3.341
2001-03-13,3.182378,3.273409,3.3425
2001-03-14,3.196519,3.294231,3.345
2001-03-15,3.306948,3.26,3.3449
2001-03-16,2.980554,3.289561,3.3444
2001-03-19,3.127589,3.276,3.3462
2001-03-20,3.721498,3.3058,3.3495
2001-03-21,3.697427,3.263488,3.3535
2001-03-22,3.638257,3.219131,3.357
2001-03-23,3.341599,3.182069,3.3574
2001-03-26,3.300139,3.174293,3.3442
2001-03-27,3.168957,3.180594,3.3404
2001-03-28,3.389358,3.20375,3.3384
2001-03-29,3.543617,3.206429,3.341
2001-03-30,3.250111,3.177352,3.3288
2001-04-02,3.232934,3.171805,3.3281
2001-04-03,3.219547,3.16095,3.3275
2001-04-04,3.264438,3.168067,3.3274
2001-04-05,3.272864,3.179333,3.3271
2001-04-06,3.069886,3.181667,3.315
2001-04-09,2.99535,3.178333,3.3081
2001-04-10,3.089766,3.178157,3.3052
2001-04-11,3.051745,3.180424,3.3028
2001-04-12,2.753156,3.172538,3.2715
2001-04-17,3.10902,3.145,3.2709
2001-04-18,2.73833,3.133718,3.2675
2001-04-19,2.354438,3.09077,3.2576
2001-04-20,2.944176,3.100834,3.2475
2001-04-23,2.740915,3.086667,3.2382
2001-04-24,2.658145,3.065918,3.2303
2001-04-25,2.564758,3.036364,3.2217
2001-04-26,2.78499,3.041197,3.2172
2001-04-27,2.939606,3.05718,3.2097
2001-04-30,3.085493,3.0477,3.2061
2001-05-02,2.984219,3.031828,3.2025
2001-05-03,2.903298,3.01026,3.1995
2001-05-04,3.012457,3.01441,3.1824
2001-05-07,3.013419,3.004255,3.1741
2001-05-08,3.095365,3.017945,3.1702
2001-05-09,3.100906,3.055356,3.1697
2001-05-10,3.064886,3.030797,3.1688
2001-05-11,3.14023,2.991453,3.1586
2001-05-14,3.181169,3.028,3.1553
2001-05-15,3.151193,3.030285,3.1565
2001-05-16,3.15854,3.043962,3.1568
2001-05-17,3.229056,3.0515,3.1578
2001-05-18,3.213456,3.0625,3.1599
2001-05-21,3.24149,3.083529,3.1506
2001-05-22,3.184768,3.085998,3.1464
2001-05-23,3.197593,3.081875,3.1481
2001-05-25,3.231091,3.085405,3.151
2001-05-28,3.250609,3.094643,3.1509
2001-05-29,3.146495,3.086015,3.1512
2001-05-30,3.168136,3.112001,3.1516
2001-05-31,3.275508,3.109091,3.1515
2001-06-01,3.230825,3.078185,3.155
2001-06-05,3.233483,3.0672,3.1506
2001-06-06,3.23773,3.048835,3.1485
2001-06-07,3.454969,3.070304,3.1496
2001-06-08,3.354392,3.056905,3.1537
2001-06-11,3.335225,3.035829,3.1419
2001-06-12,3.28228,3.022509,3.1398
2001-06-13,3.243345,3.037434,3.1404
2001-06-14,3.297186,3.131189,3.1415
2001-06-15,3.150538,3.13855,3.1406
2001-06-18,3.205631,3.139532,3.146
2001-06-19,3.243081,3.14396,3.1473
2001-06-20,3.23971,3.145341,3.142
2001-06-21,3.247605,3.136614,3.1371
2001-06-22,3.252901,3.153887,3.1359
2001-06-25,3.203884,3.14257,3.1294
2001-06-26,3.166958,3.149349,3.1279
2001-06-27,3.230947,3.142862,3.1286
2001-06-28,3.223044,3.124407,3.1219
2001-06-29,3.283814,3.110667,3.123
2001-07-02,3.250842,3.114026,3.1232
2001-07-03,3.257595,3.112278,3.1236
2001-07-04,3.283392,3.124164,3.1238
2001-07-05,3.222466,3.113032,3.1233
2001-07-06,3.193513,3.116125,3.1274
2001-07-09,3.205806,3.128867,3.1297
2001-07-10,3.205375,3.151912,3.131
2001-07-11,3.221331,3.147086,3.1329
2001-07-12,3.241367,3.14714,3.1343
2001-07-13,3.222223,3.165281,3.1379
2001-07-16,3.205122,3.166727,3.1589
2001-07-17,3.156782,3.152776,3.1594
2001-07-18,2.762662,3.140086,3.1597
2001-07-19,2.912946,3.120834,3.1659
2001-07-20,3.136324,3.166656,3.1723
2001-07-23,3.136246,3.121026,3.1766
2001-07-24,3.13978,3.121833,3.182
2001-07-25,3.16531,3.118236,3.1886
2001-07-26,3.202374,3.112533,3.1933
2001-07-27,3.248328,3.094526,3.2035
2001-07-30,3.207482,3.090965,3.2038
2001-07-31,3.226346,3.085643,3.2069
2001-08-02,3.256764,3.083853,3.2099
2001-08-03,3.251888,3.091672,3.2151
2001-08-06,3.254083,3.090636,3.2216
2001-08-07,3.214864,3.096154,3.2238
2001-08-08,3.195306,3.086731,3.2249
2001-08-09,3.209912,3.065434,3.2261
2001-08-10,3.297735,3.057164,3.2307
2001-08-13,3.246294,3.053133,3.2333
2001-08-14,3.232152,3.059265,3.2338
2001-08-15,3.243406,3.064125,3.2349
2001-08-16,3.270133,3.068499,3.2361
2001-08-17,3.294422,3.064938,3.2386
2001-08-20,3.454317,3.072068,3.2412
2001-08-21,3.34532,3.047725,3.2423
2001-08-22,3.335544,3.093715,3.244
2001-08-23,3.429465,3.112636,3.2463
2001-08-24,3.411974,3.098773,3.253
2001-08-27,3.327293,3.073941,3.2539
2001-08-28,3.273834,3.077081,3.2542
2001-08-29,3.40923,3.084563,3.257
2001-08-30,3.122627,3.070358,3.2565
2001-08-31,3.123531,3.037857,3.2526
2001-09-03,3.279398,3.034846,3.2532
2001-09-04,3.337905,3.044876,3.2542
2001-09-05,3.491015,3.050876,3.2571
2001-09-06,3.302981,3.036657,3.2578
2001-09-07,3.146977,3.005723,3.2527
2001-09-10,3.293044,2.957611,3.2492
2001-09-11,3.286994,2.927788,3.2487
2001-09-12,2.998944,2.805274,3.2456
2001-09-13,2.902821,2.818161,3.2418
2001-09-14,2.812278,2.789722,3.228
2001-09-17,2.95223,2.761944,3.2269
2001-09-18,2.693577,2.688125,3.2213
2001-09-19,2.511709,2.657953,3.2133
2001-09-20,2.461857,2.609281,3.2048
2001-09-21,1.727974,2.43107,3.1574
2001-09-24,2.049177,2.242146,3.1415
2001-09-25,1.96368,2.102634,3.1279
2001-09-26,1.974646,2.128992,3.1149
2001-09-27,1.991847,2.131393,3.0997
2001-09-28,2.027698,2.141439,3.058
2001-10-01,1.974012,2.147875,3.0463
2001-10-02,1.942484,2.145,3.032
2001-10-03,1.90016,2.076045,3.0171
2001-10-04,2.061,2.067725,3.0038
2001-10-05,2.023377,2.042044,2.9704
2001-10-08,1.901386,2.045392,2.9509
2001-10-09,1.765327,2.020353,2.9351
2001-10-10,2.120036,2.040831,2.9232
2001-10-11,2.114468,2.086769,2.9111
2001-10-12,2.166046,2.105477,2.884
2001-10-15,2.108166,2.106659,2.864
2001-10-16,2.033529,2.109727,2.8512
2001-10-17,2.010329,2.128061,2.8386
2001-10-18,2.112056,2.117023,2.8315
2001-10-19,1.782917,2.077363,2.7973
2001-10-22,2.068443,2.065558,2.7778
2001-10-23,2.081775,2.078603,2.7663
2001-10-24,2.107731,2.079273,2.755
2001-10-25,2.103747,2.074752,2.7433
2001-10-26,2.025816,2.042379,2.7158
2001-10-29,2.0245,2.026497,2.6903
2001-10-30,2.052453,1.977033,2.6777
2001-10-31,2.118133,1.930111,2.6591
2001-11-01,2.179998,1.911328,2.6541
2001-11-02,2.260074,1.927879,2.6354
2001-11-05,2.179764,1.920083,2.6098
2001-11-06,2.241207,1.899311,2.5987
2001-11-07,2.249862,1.822827,2.5881
2001-11-08,2.250513,1.822098,2.5778
2001-11-09,2.330707,1.88636,2.5634
2001-11-12,2.279685,1.897208,2.5359
2001-11-13,2.295242,1.912105,2.5255
2001-11-14,2.169719,1.9485,2.5139
2001-11-15,2.274552,2.035255,2.5033
2001-11-16,0.952751,2.115856,2.4456
2001-11-19,1.066092,2.069334,2.4023
2001-11-20,1.97623,2.002006,2.3862
2001-11-21,2.239934,2.001682,2.3741
2001-11-22,2.142303,1.975747,2.361
2001-11-23,2.215633,1.946485,2.3452
2001-11-26,2.257903,1.930036,2.309
2001-11-27,2.014157,1.963875,2.2946
2001-11-28,2.024047,1.924962,2.281
2001-11-29,2.008094,1.887506,2.256
2001-11-30,1.960142,1.836329,2.2175
2001-12-03,1.989339,1.823123,2.2032
2001-12-04,2.014808,1.811071,2.1886
2001-12-05,1.930209,1.832695,2.1714
2001-12-06,2.05048,1.85193,2.1575
2001-12-07,1.923957,1.773036,2.117
2001-12-10,1.777865,1.740882,2.1002
2001-12-11,1.768489,1.731501,2.0835
2001-12-12,1.817157,1.744217,2.0704
2001-12-13,1.756059,1.738544,2.0578
2001-12-14,1.124554,1.746751,2.0018
2001-12-17,1.009808,1.720979,1.9804
2001-12-18,0.874146,1.736056,1.9603
2001-12-19,0.8158,1.724777,1.9416
2001-12-20,1.379349,1.620447,1.9296
2001-12-21,1.366945,1.716478,1.9177
2001-12-24,0.523659,1.696084,1.8701
2001-12-27,0.678799,1.69495,1.8544
2001-12-28,1.469348,1.693571,1.8423
2001-12-31,,,1.8227
2002-01-03,1.553874,1.678225,1.8175
2002-01-04,1.541419,1.678147,1.8063
2002-01-07,1.582457,1.643468,1.7965
2002-01-08,1.311308,1.58567,1.7901
2002-01-09,0.57348,1.597971,1.7771
2002-01-10,1.084407,1.60057,1.7658
2002-01-11,1.204927,1.595719,1.7442
2002-01-14,1.217536,1.586746,1.7245
2002-01-15,1.462577,1.617803,1.7174
2002-01-16,1.464256,1.590666,1.7112
2002-01-17,0.968733,1.57275,1.6999
2002-01-18,0.713096,1.589479,1.664
2002-01-21,1.508188,1.589617,1.6582
2002-01-22,1.442579,1.593274,1.6514
2002-01-23,1.405127,1.606875,1.644
2002-01-24,1.525601,1.605424,1.6377
2002-01-25,1.285529,1.612945,1.6215
2002-01-28,1.32848,1.611462,1.605
2002-01-29,1.12978,1.587051,1.5952
2002-01-30,1.096512,1.567548,1.5848
2002-01-31,1.203506,1.566818,1.5748
2002-02-01,1.241701,1.553889,1.5578
2002-02-04,1.446838,1.532319,1.5335
2002-02-05,1.458601,1.522363,1.5256
2002-02-06,1.504783,1.533426,1.5175
2002-02-07,1.501659,1.5353,1.5094
2002-02-08,1.495352,1.541908,1.5011
2002-02-11,1.420388,1.527586,1.473
2002-02-12,1.37833,1.533022,1.4632
2002-02-13,1.416394,1.544355,1.4536
2002-02-14,1.4988,1.5592,1.4462
2002-02-15,1.398373,1.584096,1.436
2002-02-18,1.477522,1.57125,1.4521
2002-02-19,1.5153,1.57041,1.457
2002-02-20,1.51227,1.587818,1.452
2002-02-21,1.536173,1.607001,1.4443
2002-02-22,1.486291,1.591889,1.4383
2002-02-25,1.470694,1.6,1.4131
2002-02-26,1.466405,1.610795,1.4045
2002-02-27,1.511782,1.631043,1.3851
2002-02-28,1.571053,1.595742,1.3675
2002-03-01,1.589345,1.666114,1.375
2002-03-04,1.641281,1.682218,1.3639
2002-03-05,1.651718,1.648104,1.3608
2002-03-06,1.562321,1.647635,1.3553
2002-03-07,1.584628,1.64308,1.3579
2002-03-08,1.488984,1.665984,1.3435
2002-03-11,1.474917,1.633465,1.3354
2002-03-12,1.43982,1.616573,1.3312
2002-03-13,1.421913,1.604501,1.3274
2002-03-14,1.462686,1.592415,1.329
2002-03-15,1.319189,1.5555,1.3354
2002-03-18,1.467612,1.551678,1.3456
2002-03-19,1.518823,1.570034,1.3535
2002-03-20,1.547908,1.588158,1.3553
2002-03-21,1.559183,1.605313,1.3576
2002-03-22,1.541717,1.59776,1.3634
2002-03-25,1.424816,1.595083,1.3641
2002-03-26,1.43875,1.579655,1.393
2002-03-27,1.302099,1.53092,1.3974
2002-03-28,1.202675,1.509085,1.3841
2002-04-02,1.336568,1.512143,1.3836
2002-04-03,1.376005,1.490059,1.3816
2002-04-04,1.3933,1.467712,1.3818
2002-04-05,1.332908,1.45238,1.3749
2002-04-08,1.387884,1.456019,1.3734
2002-04-09,1.501844,1.478097,1.3837
2002-04-10,1.472721,1.487844,1.388
2002-04-11,1.427364,1.477514,1.3885
2002-04-12,0.999843,1.447743,1.3817
2002-04-15,1.3308,1.421917,1.3821
2002-04-16,1.336452,1.446108,1.3806
2002-04-17,1.347096,1.486235,1.3848
2002-04-18,1.384458,1.483974,1.3849
2002-04-19,1.37782,1.475383,1.4069
