date,overnight_ops_net_daily
2023-04-17,4055.0
2023-04-18,-3784.0
2023-04-19,-1396.0
2023-04-20,204.0
2023-04-21,-751.0
2023-04-24,-30.0
2023-04-25,789.0
2023-04-26,105.0
2023-04-27,916.0
2023-04-28,234.0
2023-05-01,-578.0
2023-05-02,-303.0
2023-05-03,4599.0
2023-05-04,-4689.0
2023-05-05,9.0
2023-05-08,-3.0
2023-05-09,304.0
2023-05-10,-266.0
2023-05-11,39.0
2023-05-12,-68.0
2023-05-15,34.0
2023-05-16,-1489.0
2023-05-17,1466.0
2023-05-18,218.0
2023-05-19,721.0
2023-05-23,-133.0
2023-05-24,-814.0
2023-05-25,684.0
2023-05-26,217.0
2023-05-29,-311.0
2023-05-30,-198.0
2023-05-31,4.0
2023-06-01,-250.0
2023-06-02,2612.0
2023-06-05,472.0
2023-06-06,-11.0
2023-06-07,-364.0
2023-06-08,646.0
2023-06-09,1170.0
2023-06-12,-5989.0
2023-06-13,-185.0
2023-06-14,-948.0
2023-06-15,2322.0
2023-06-16,-926.0
2023-06-19,3479.0
2023-06-20,-3406.0
2023-06-21,341.0
2023-06-22,-970.0
2023-06-23,854.0
2023-06-26,-289.0
2023-06-27,-260.0
2023-06-28,498.0
2023-06-29,-1452.0
2023-06-30,253.0
2023-07-04,-1225.0
2023-07-05,-99.0
2023-07-06,-108.0
2023-07-07,-194.0
2023-07-10,712.0
2023-07-11,356.0
2023-07-12,-734.0
2023-07-13,1606.0
2023-07-14,1725.0
2023-07-17,2556.0
2023-07-18,300.0
2023-07-19,-313.0
2023-07-20,-307.0
2023-07-21,473.0
2023-07-24,28.0
2023-07-25,-598.0
2023-07-26,-280.0
2023-07-27,-4060.0
2023-07-28,1414.0
2023-07-31,2019.0
2023-08-01,192.0
2023-08-02,-476.0
2023-08-03,475.0
2023-08-04,-152.0
2023-08-08,369.0
2023-08-09,280.0
2023-08-10,664.0
2023-08-11,311.0
2023-08-14,-418.0
2023-08-15,-76.0
2023-08-16,-133.0
2023-08-17,-318.0
2023-08-18,-799.0
2023-08-21,-261.0
2023-08-22,-9.0
2023-08-23,-165.0
2023-08-24,253.0
2023-08-25,179.0
2023-08-28,-196.0
2023-08-29,-57.0
2023-08-30,178.0
2023-08-31,-93.0
2023-09-01,1221.0
2023-09-05,146.0
2023-09-06,-171.0
2023-09-07,1419.0
2023-09-08,-152.0
2023-09-11,362.0
2023-09-12,246.0
2023-09-13,-202.0
2023-09-14,-696.0
2023-09-15,-169.0
2023-09-18,776.0
2023-09-19,-702.0
2023-09-20,-94.0
2023-09-21,-20.0
2023-09-22,43.0
2023-09-25,393.0
2023-09-26,443.0
2023-09-27,-381.0
2023-09-28,-407.0
2023-09-29,-885.0
2023-10-03,814.0
2023-10-04,331.0
2023-10-05,-578.0
2023-10-06,-529.0
2023-10-10,-358.0
2023-10-11,231.0
2023-10-12,246.0
2023-10-13,153.0
2023-10-16,-113.0
2023-10-17,-154.0
2023-10-18,-64.0
2023-10-19,-165.0
2023-10-20,-130.0
2023-10-23,-721.0
2023-10-24,-301.0
2023-10-25,82.0
2023-10-26,826.0
2023-10-27,2919.0
2024-01-03,4850.0
2024-01-04,150.0
2024-01-05,0.0
2024-01-08,5000.0
2024-01-09,0.0
2024-01-10,-5000.0
2024-01-11,-5000.0
2024-01-15,5000.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,-5000.0
2024-01-22,5000.0
2024-01-23,0.0
2024-01-24,-5000.0
2024-01-31,5000.0
2024-02-01,-5000.0
2024-06-19,3255.0
2024-06-20,-3255.0
2024-07-17,9240.0
2024-07-18,410.0
2024-07-19,3000.0
2024-07-22,700.0
2024-07-23,2650.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-29,-4020.0
2024-07-30,1905.0
2024-07-31,2115.0
2024-08-01,0.0
2024-08-02,0.0
2024-08-06,0.0
2024-08-07,0.0
2024-08-08,-1460.0
2024-08-09,1460.0
2024-08-12,0.0
2024-08-13,0.0
2024-08-14,0.0
2024-08-15,0.0
2024-08-16,0.0
2024-08-19,-1001.0
2024-08-20,-1049.0
2024-08-21,-2461.0
2024-08-22,2246.0
2024-08-23,-5735.0
2024-08-26,0.0
2024-08-27,2770.0
2024-08-28,5230.0
2024-08-29,-1356.0
2024-08-30,1356.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,0.0
2024-09-09,0.0
2024-09-10,-5985.0
2024-09-11,11593.0
2024-09-12,-5608.0
2024-09-13,-2075.0
2024-09-16,1747.0
2024-09-17,328.0
2024-09-18,0.0
2024-09-19,-377.0
2024-09-20,-533.0
2024-09-23,910.0
2024-09-24,0.0
2024-09-25,-222.0
2024-09-26,222.0
2024-09-27,0.0
2024-10-01,-230.0
2024-10-02,-1437.0
2024-10-03,1667.0
2024-10-04,-1343.0
2024-10-07,503.0
2024-10-08,840.0
2024-10-09,2500.0
2024-10-10,-2500.0
2024-10-11,-1661.0
2024-10-15,7083.0
2024-10-16,-5422.0
2024-10-17,-2198.0
2024-10-18,1081.0
2024-10-21,-2256.0
2024-10-22,-910.0
2024-10-23,2601.0
2024-10-24,1182.0
2024-10-25,3020.0
2024-10-28,-1190.0
2024-10-29,220.0
2024-10-30,3981.0
2024-10-31,-1081.0
2024-11-01,1283.0
2024-11-04,2267.0
2024-11-05,0.0
2024-11-06,-3452.0
2024-11-07,-1677.0
2024-11-08,514.0
2024-11-12,-3760.0
2024-11-13,375.0
2024-11-14,-1530.0
2024-11-15,1516.0
2024-11-18,-1638.0
2024-11-19,-1033.0
2024-11-20,2039.0
2024-11-21,-1354.0
2024-11-22,0.0
2024-11-25,-912.0
2024-11-26,-1088.0
2024-11-27,0.0
2024-11-28,-558.0
2024-11-29,558.0
2024-12-02,0.0
2024-12-03,2000.0
2024-12-04,2000.0
2024-12-05,-2000.0
2024-12-06,0.0
2024-12-09,0.0
2024-12-10,-1621.0
2024-12-11,644.0
2024-12-12,977.0
2024-12-13,0.0
2024-12-16,0.0
2024-12-17,1504.0
2024-12-18,8496.0
2024-12-19,1900.0
2024-12-20,100.0
2024-12-23,-2000.0
2024-12-24,-940.0
2024-12-27,940.0
2024-12-30,0.0
2024-12-31,-4544.0
2025-01-02,4544.0
2025-01-03,0.0
2025-01-06,0.0
2025-01-07,-3297.0
2025-01-08,-6667.0
2025-01-09,-36.0
2025-01-10,10000.0
2025-01-13,0.0
2025-01-14,-9270.0
2025-01-15,14597.0
2025-01-16,923.0
2025-01-17,-2250.0
2025-01-20,-4000.0
2025-01-21,0.0
2025-01-22,-1722.0
2025-01-23,-5759.0
2025-01-24,6097.0
2025-01-27,1384.0
2025-01-28,-2878.0
2025-01-29,7943.0
2025-01-30,-5065.0
2025-01-31,-2236.0
2025-02-03,-9764.0
2025-02-04,-12000.0
2025-03-12,6610.0
2025-03-13,-6610.0
2025-09-02,12000.0
2025-09-03,-12000.0
2025-09-26,9940.0
2025-09-29,2060.0
2025-10-01,-12000.0
2025-10-31,2750.0
2025-11-03,11250.0
2025-11-04,-2000.0
2025-11-05,-12000.0
2025-12-15,8000.0
2025-12-16,-8000.0
2025-12-22,5751.0
2025-12-23,-5751.0
2025-12-24,12000.0
2025-12-29,-1100.0
2025-12-30,-10900.0
2026-01-15,6950.0
2026-01-16,-6950.0
2026-01-30,6472.0
2026-02-02,-6472.0
2026-03-02,15000.0
2026-03-03,599.0
2026-03-04,-3599.0
2026-03-05,-12000.0
2026-03-24,9521.0
2026-03-25,5479.0
2026-03-26,1000.0
2026-03-27,-680.0
2026-03-30,-946.0
2026-03-31,-5299.0
2026-04-01,5253.0
2026-04-02,-332.0
2026-04-06,-4988.0
2026-04-07,-9008.0
2026-04-15,10000.0
2026-04-16,1486.0
2026-04-17,-1486.0
2026-04-20,2693.0
2026-04-21,-12693.0
2026-04-24,13643.0
2026-04-27,657.0
2026-04-28,820.0
2026-04-29,-1333.0
2026-04-30,-287.0
2026-05-01,2500.0
2026-05-04,-4000.0
2026-05-05,-12000.0
2026-06-17,8000.0
2026-06-18,0.0
2026-06-19,4000.0
2026-06-22,-4770.0
2026-06-23,-7230.0
2026-06-29,13280.0
2026-06-30,-3202.0
2026-07-02,3922.0
2026-07-03,0.0
2026-07-06,-2427.0
2026-07-07,-11573.0
2026-07-15,7812.0
2026-07-16,-681.0
2026-07-17,-7131.0
2026-07-31,11245.0
2026-08-04,-3245.0
2026-08-05,0.0
2026-08-06,-8000.0
2026-09-01,10000.0
2026-09-02,-10000.0
