date,term_repo_net_daily
2025-10-30,-1400.0
2025-11-06,500.0
2025-11-13,4490.0
2025-11-20,1500.0
2025-11-27,-2000.0
2025-12-04,-1100.0
2025-12-11,-1380.0
2025-12-18,1100.0
2025-12-23,3230.0
2025-12-30,0.0
2026-01-08,-3450.0
2026-01-15,-2500.0
2026-01-22,-5000.0
2026-01-29,-500.0
2026-02-05,262.0
2026-02-12,0.0
2026-02-19,1050.0
2026-02-26,2000.0
2026-03-05,3000.0
2026-03-12,0.0
2026-03-19,-2000.0
2026-03-26,3000.0
2026-04-02,538.0
2026-04-09,-3500.0
2026-04-16,-2950.0
2026-04-23,2000.0
2026-04-30,4400.0
2026-05-07,5500.0
2026-05-14,-1100.0
2026-05-21,3000.0
2026-05-28,3590.0
2026-06-04,-3000.0
2026-06-11,435.0
2026-06-18,0.0
2026-06-25,3325.0
2026-07-02,3000.0
2026-07-09,-73.0
2026-07-16,0.0
2026-07-23,867.0
2026-07-30,-2175.0
2026-08-06,4867.0
2026-08-13,2175.0
2026-08-20,2098.0
2026-08-27,0.0
2026-09-03,-164.0
2026-09-10,1000.0
