date,ILM.D.U2.C.A050500.U2.EUR
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,3.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-04,21.0
2020-05-05,5.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-11,5.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,3.0
2020-05-22,12.0
2020-05-25,37.0
2020-05-26,167.0
2020-05-27,30.0
2020-05-28,35.0
2020-05-29,50.0
2020-06-01,11.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,8.0
2020-06-05,9.0
2020-06-08,9.0
2020-06-09,14.0
2020-06-10,16.0
2020-06-11,25.0
2020-06-12,27.0
2020-06-15,7.0
2020-06-16,0.0
2020-06-17,5.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-22,0.0
2020-06-23,1.0
2020-06-24,0.0
2020-06-25,22.0
2020-06-26,7.0
2020-06-29,7.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,10.0
2020-07-14,23.0
2020-07-15,1.0
2020-07-16,0.0
2020-07-17,3.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,74.0
2020-07-23,36.0
2020-07-24,10.0
2020-07-27,90.0
2020-07-28,95.0
2020-07-29,70.0
2020-07-30,154.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,1.0
2020-08-05,1.0
2020-08-06,81.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,22.0
2020-08-12,3.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,4.0
2020-08-28,6.0
2020-08-31,0.0
2020-09-01,4.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,8.0
2020-09-11,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,4.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-21,0.0
2020-09-22,4.0
2020-09-23,0.0
2020-09-24,1.0
2020-09-25,0.0
2020-09-28,0.0
2020-09-29,1.0
2020-09-30,55.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,19.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,2.0
2020-10-29,1.0
2020-10-30,20.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,4.0
2020-11-09,1.0
2020-11-10,1.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,127.0
2020-11-17,0.0
2020-11-18,435.0
2020-11-19,19.0
2020-11-20,0.0
2020-11-23,68.0
2020-11-24,0.0
2020-11-25,1.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,15.0
2020-12-01,34.0
2020-12-02,45.0
2020-12-03,3.0
2020-12-04,41.0
