issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
FR,bill,FR0101208447,1999-08-18,1999-08-19,1999-11-18,1657.0,1657.0,2.84,2.499,aft_hist_btf
FR,bill,FR0100563073,1999-08-23,1999-08-26,1999-11-25,1711.0,1711.0,2.71,2.509,aft_hist_btf
FR,bill,FR0100802018,1999-08-23,1999-08-26,2000-02-17,717.0,717.0,3.05,2.721,aft_hist_btf
FR,bond,FR0100802273,1999-08-19,1999-08-26,2004-07-12,1272.0,1231.042,3.18,4.24,aft_hist_mlt
FR,bond,FR0100877812,1999-08-19,1999-08-26,2001-07-12,1626.0,1614.455,2.93,3.39,aft_hist_mlt
DE,bond,DE0001141323,1999-08-25,1999-08-27,2004-08-27,3853.8,3854.571,4.3,4.12,finanzagentur
FR,bill,FR0101208405,1999-08-30,1999-09-02,2000-07-13,513.0,513.0,4.58,3.035,aft_hist_btf
FR,bill,FR0101208462,1999-08-30,1999-09-02,1999-12-02,1028.0,1028.0,4.67,2.461,aft_hist_btf
FR,bond,FR0000186199,1999-09-02,1999-09-09,2009-10-25,3101.0,2826.562,2.53,5.14,aft_hist_mlt
FR,bond,FR0000570731,1999-09-02,1999-09-09,2011-04-25,610.0,677.527,3.64,5.2,aft_hist_mlt
FR,bill,FR0101208470,1999-09-06,1999-09-09,1999-12-09,1002.0,1002.0,3.77,2.438,aft_hist_btf
FR,bill,FR0101208488,1999-09-06,1999-09-09,2000-03-30,806.0,806.0,3.16,2.795,aft_hist_btf
FR,bill,FR0101208488,1999-09-13,1999-09-16,2000-03-30,518.0,518.0,4.13,2.815,aft_hist_btf
FR,bill,FR0101208496,1999-09-13,1999-09-16,1999-12-16,1076.0,1076.0,4.21,2.466,aft_hist_btf
DE,bond,DE0001136877,1999-09-15,1999-09-17,2001-09-14,4179.6,4164.971,3.9,3.69,finanzagentur
FR,bill,FR0100662560,1999-09-20,1999-09-23,1999-12-23,722.0,722.0,5.15,2.45,aft_hist_btf
FR,bond,FR0100802273,1999-09-16,1999-09-23,2004-07-12,1441.0,1377.74,2.93,4.54,aft_hist_mlt
FR,bond,FR0100877812,1999-09-16,1999-09-23,2001-07-12,1757.0,1739.079,2.75,3.59,aft_hist_mlt
FR,bill,FR0101208504,1999-09-20,1999-09-23,2000-09-21,903.0,903.0,2.72,3.049,aft_hist_btf
FR,bill,FR0101208488,1999-09-27,1999-09-30,2000-03-30,502.0,502.0,4.0,2.766,aft_hist_btf
FR,bill,FR0101208512,1999-09-27,1999-09-30,1999-12-29,1002.0,1002.0,4.39,2.453,aft_hist_btf
FR,bill,FR0101208504,1999-10-04,1999-10-07,2000-09-21,502.0,502.0,2.85,3.27,aft_hist_btf
FR,bill,FR0101208850,1999-10-04,1999-10-07,2000-01-06,1002.0,1002.0,2.06,2.728,aft_hist_btf
FR,bond,FR0000186199,1999-10-07,1999-10-14,2009-10-25,2444.0,2191.535,2.24,5.36,aft_hist_mlt
FR,bond,FR0000570491,1999-10-07,1999-10-14,2006-04-25,624.0,707.616,2.88,4.8,aft_hist_mlt
FR,bond,FR0000571218,1999-10-07,1999-10-14,2029-04-25,511.0,477.938,2.79,5.97,aft_hist_mlt
FR,bill,FR0101208488,1999-10-11,1999-10-14,2000-03-30,505.0,505.0,2.87,2.944,aft_hist_btf
FR,bill,FR0101208868,1999-10-11,1999-10-14,2000-01-13,1108.0,1108.0,3.32,2.742,aft_hist_btf
DE,bill,DE0001114320,1999-10-13,1999-10-15,2000-04-14,4962.0,4886.925,1.4,3.0364,finanzagentur
FR,bill,FR0101208504,1999-10-18,1999-10-21,2000-09-21,501.0,501.0,3.86,3.369,aft_hist_btf
FR,bill,FR0101208876,1999-10-18,1999-10-21,2000-01-20,1008.0,1008.0,3.19,2.75,aft_hist_btf
DE,bond,DE0001135135,1999-10-20,1999-10-22,2010-01-04,4571.0,4553.173,1.4,5.42,finanzagentur
FR,bill,FR0101208884,1999-10-25,1999-10-28,2000-01-27,1030.0,1030.0,3.66,2.748,aft_hist_btf
FR,bill,FR0101208892,1999-10-25,1999-10-28,2000-05-18,804.0,804.0,2.74,3.211,aft_hist_btf
FR,bond,FR0101465831,1999-10-21,1999-10-28,2002-01-12,2996.0,2981.02,2.5,4.24,aft_hist_mlt
FR,bill,FR0101208504,1999-11-02,1999-11-04,2000-09-21,526.0,526.0,1.91,3.434,aft_hist_btf
FR,bill,FR0101208900,1999-11-02,1999-11-04,2000-02-03,936.0,936.0,2.14,2.788,aft_hist_btf
FR,bond,FR0000186199,1999-11-04,1999-11-10,2009-10-25,2030.0,1839.992,2.69,5.23,aft_hist_mlt
FR,bond,FR0000570731,1999-11-04,1999-11-10,2011-04-25,656.0,723.896,3.45,5.27,aft_hist_mlt
FR,bill,FR0101208892,1999-11-08,1999-11-10,2000-05-18,546.0,546.0,3.66,3.138,aft_hist_btf
FR,bill,FR0101208918,1999-11-08,1999-11-10,2000-02-10,953.0,953.0,3.41,2.746,aft_hist_btf
FR,bill,FR0100802018,1999-11-15,1999-11-18,2000-02-17,504.0,504.0,4.94,2.747,aft_hist_btf
FR,bill,FR0101208926,1999-11-15,1999-11-18,2000-11-16,807.0,807.0,2.62,3.378,aft_hist_btf
DE,bond,DE0001141331,1999-11-17,1999-11-19,2004-11-26,4045.0,4009.808,1.9,4.44,finanzagentur
FR,bond,FR0100802273,1999-11-18,1999-11-25,2004-07-12,621.0,593.986,5.54,4.56,aft_hist_mlt
FR,bill,FR0101208892,1999-11-22,1999-11-25,2000-05-18,509.0,509.0,2.88,3.169,aft_hist_btf
FR,bill,FR0101208934,1999-11-22,1999-11-25,2000-02-24,1066.0,1066.0,2.89,2.764,aft_hist_btf
FR,bond,FR0101465831,1999-11-18,1999-11-25,2002-01-12,1461.0,1460.854,2.81,4.0,aft_hist_mlt
DE,bond,DE0001135135,1999-11-24,1999-11-26,2010-01-04,4417.0,4502.248,1.3,5.12,finanzagentur
FR,bill,FR0101208926,1999-11-29,1999-12-02,2000-11-16,535.0,535.0,3.13,3.519,aft_hist_btf
FR,bill,FR0101208942,1999-11-29,1999-12-02,2000-03-02,1003.0,1003.0,2.47,2.788,aft_hist_btf
FR,bond,FR0000186199,1999-12-02,1999-12-09,2009-10-25,2210.0,2000.713,2.74,5.25,aft_hist_mlt
FR,bill,FR0101208959,1999-12-06,1999-12-09,2000-03-09,1005.0,1005.0,1.87,2.87,aft_hist_btf
FR,bill,FR0101208967,1999-12-06,1999-12-09,2000-06-29,809.0,809.0,1.74,3.271,aft_hist_btf
FR,bill,FR0101208926,1999-12-13,1999-12-16,2000-11-16,505.0,505.0,2.48,3.578,aft_hist_btf
FR,bill,FR0101208975,1999-12-13,1999-12-16,2000-03-16,1002.0,1002.0,2.41,3.02,aft_hist_btf
DE,bond,DE0001136885,1999-12-15,1999-12-17,2001-12-14,4273.0,4267.018,1.8,4.07,finanzagentur
FR,bond,FR0100802273,1999-12-16,1999-12-23,2004-07-12,748.0,714.19,3.35,4.62,aft_hist_mlt
FR,bill,FR0101208967,1999-12-20,1999-12-23,2000-06-29,513.0,513.0,2.67,3.394,aft_hist_btf
FR,bill,FR0101208983,1999-12-20,1999-12-23,2000-03-23,840.0,840.0,2.54,3.073,aft_hist_btf
FR,bond,FR0101465831,1999-12-16,1999-12-23,2002-01-12,782.0,779.263,3.53,4.18,aft_hist_mlt
