date,EST.B.EU000A2QQF32.CR
2021-03-09,-0.56224
2021-03-10,-0.56228
2021-03-11,-0.56235
2021-03-12,-0.56232
2021-03-15,-0.56255
2021-03-16,-0.56269
2021-03-17,-0.56275
2021-03-18,-0.5628
2021-03-19,-0.56283
2021-03-22,-0.56313
2021-03-23,-0.56322
2021-03-24,-0.56327
2021-03-25,-0.56327
2021-03-26,-0.56327
2021-03-29,-0.56392
2021-03-30,-0.56407
2021-03-31,-0.56423
2021-04-01,-0.56351
2021-04-06,-0.5636
2021-04-07,-0.56361
2021-04-08,-0.56363
2021-04-09,-0.56369
2021-04-12,-0.5639
2021-04-13,-0.56394
2021-04-14,-0.56396
2021-04-15,-0.56391
2021-04-16,-0.56393
2021-04-19,-0.56389
2021-04-20,-0.56392
2021-04-21,-0.56396
2021-04-22,-0.56399
2021-04-23,-0.56399
2021-04-26,-0.56413
2021-04-27,-0.56423
2021-04-28,-0.5642
2021-04-29,-0.56426
2021-04-30,-0.56427
2021-05-03,-0.56444
2021-05-04,-0.56454
2021-05-05,-0.56454
2021-05-06,-0.56454
2021-05-07,-0.56454
2021-05-10,-0.56451
2021-05-11,-0.56455
2021-05-12,-0.56454
2021-05-13,-0.56452
2021-05-14,-0.56451
2021-05-17,-0.56455
2021-05-18,-0.56457
2021-05-19,-0.56452
2021-05-20,-0.56451
2021-05-21,-0.56448
2021-05-24,-0.56454
2021-05-25,-0.56456
2021-05-26,-0.56457
2021-05-27,-0.56457
2021-05-28,-0.56455
2021-05-31,-0.56457
2021-06-01,-0.56461
2021-06-02,-0.56462
2021-06-03,-0.5646
2021-06-04,-0.56458
2021-06-07,-0.56451
2021-06-08,-0.5646
2021-06-09,-0.56466
2021-06-10,-0.5647
2021-06-11,-0.56469
2021-06-14,-0.56475
2021-06-15,-0.56486
2021-06-16,-0.56483
2021-06-17,-0.56483
2021-06-18,-0.56485
2021-06-21,-0.56476
2021-06-22,-0.56476
2021-06-23,-0.56474
2021-06-24,-0.56474
2021-06-25,-0.56475
2021-06-28,-0.56475
2021-06-29,-0.56468
2021-06-30,-0.56466
2021-07-01,-0.56468
2021-07-02,-0.56468
2021-07-05,-0.56466
2021-07-06,-0.56464
2021-07-07,-0.56462
2021-07-08,-0.56459
2021-07-09,-0.56455
2021-07-12,-0.56448
2021-07-13,-0.5645
2021-07-14,-0.56453
2021-07-15,-0.56459
2021-07-16,-0.56459
2021-07-19,-0.56466
2021-07-20,-0.56465
2021-07-21,-0.56465
2021-07-22,-0.56468
2021-07-23,-0.56466
2021-07-26,-0.56473
2021-07-27,-0.56473
2021-07-28,-0.56476
2021-07-29,-0.56477
2021-07-30,-0.56478
2021-08-02,-0.56485
2021-08-03,-0.56484
2021-08-04,-0.56487
2021-08-05,-0.56494
2021-08-06,-0.56494
2021-08-09,-0.56505
2021-08-10,-0.56516
2021-08-11,-0.56516
2021-08-12,-0.5652
2021-08-13,-0.56524
2021-08-16,-0.56536
2021-08-17,-0.56546
2021-08-18,-0.56549
2021-08-19,-0.56559
2021-08-20,-0.56562
2021-08-23,-0.56568
2021-08-24,-0.56577
2021-08-25,-0.56578
2021-08-26,-0.56577
2021-08-27,-0.56583
2021-08-30,-0.56596
2021-08-31,-0.566
2021-09-01,-0.56599
2021-09-02,-0.56604
2021-09-03,-0.56611
2021-09-06,-0.56619
2021-09-07,-0.56634
2021-09-08,-0.56639
2021-09-09,-0.56646
2021-09-10,-0.56652
2021-09-13,-0.56667
2021-09-14,-0.56676
2021-09-15,-0.56679
2021-09-16,-0.56692
2021-09-17,-0.56698
2021-09-20,-0.56713
2021-09-21,-0.56727
2021-09-22,-0.56735
2021-09-23,-0.56737
2021-09-24,-0.56744
2021-09-27,-0.5675
2021-09-28,-0.56764
2021-09-29,-0.56772
2021-09-30,-0.56776
2021-10-01,-0.56775
2021-10-04,-0.56786
2021-10-05,-0.56799
2021-10-06,-0.56802
2021-10-07,-0.56806
2021-10-08,-0.5681
2021-10-11,-0.5681
2021-10-12,-0.5682
2021-10-13,-0.56814
2021-10-14,-0.56817
2021-10-15,-0.56821
2021-10-18,-0.56834
2021-10-19,-0.56846
2021-10-20,-0.56854
2021-10-21,-0.56858
2021-10-22,-0.56864
2021-10-25,-0.56869
2021-10-26,-0.56879
2021-10-27,-0.56882
2021-10-28,-0.56893
2021-10-29,-0.569
2021-11-01,-0.56926
2021-11-02,-0.56935
2021-11-03,-0.5694
2021-11-04,-0.56944
2021-11-05,-0.56947
2021-11-08,-0.56957
2021-11-09,-0.56967
2021-11-10,-0.56975
2021-11-11,-0.56984
2021-11-12,-0.56993
2021-11-15,-0.57
2021-11-16,-0.57004
2021-11-17,-0.57006
2021-11-18,-0.57009
2021-11-19,-0.57014
2021-11-22,-0.57024
2021-11-23,-0.5704
2021-11-24,-0.57046
2021-11-25,-0.57049
2021-11-26,-0.57059
2021-11-29,-0.57066
2021-11-30,-0.57072
2021-12-01,-0.57082
2021-12-02,-0.57087
2021-12-03,-0.57094
2021-12-06,-0.57127
2021-12-07,-0.57136
2021-12-08,-0.57145
2021-12-09,-0.57154
2021-12-10,-0.57163
2021-12-13,-0.57186
2021-12-14,-0.57195
2021-12-15,-0.57205
2021-12-16,-0.57209
2021-12-17,-0.5722
2021-12-20,-0.57236
2021-12-21,-0.57247
2021-12-22,-0.57247
2021-12-23,-0.57256
2021-12-24,-0.57263
2021-12-27,-0.57299
2021-12-28,-0.57304
2021-12-29,-0.57307
2021-12-30,-0.57313
2021-12-31,-0.5732
2022-01-03,-0.57364
2022-01-04,-0.57379
2022-01-05,-0.57389
2022-01-06,-0.57399
2022-01-07,-0.57409
2022-01-10,-0.57432
2022-01-11,-0.5746
2022-01-12,-0.57469
2022-01-13,-0.57487
2022-01-14,-0.57497
2022-01-17,-0.5751
2022-01-18,-0.57525
2022-01-19,-0.5753
2022-01-20,-0.57536
2022-01-21,-0.57544
2022-01-24,-0.57557
2022-01-25,-0.57583
2022-01-26,-0.57591
2022-01-27,-0.57598
2022-01-28,-0.57598
2022-01-31,-0.57589
2022-02-01,-0.57588
2022-02-02,-0.57587
2022-02-03,-0.57596
2022-02-04,-0.576
2022-02-07,-0.57608
2022-02-08,-0.57625
2022-02-09,-0.57624
2022-02-10,-0.57627
2022-02-11,-0.57623
2022-02-14,-0.57628
2022-02-15,-0.57645
2022-02-16,-0.57653
2022-02-17,-0.57658
2022-02-18,-0.57664
2022-02-21,-0.57666
2022-02-22,-0.57679
2022-02-23,-0.57681
2022-02-24,-0.57683
2022-02-25,-0.5769
2022-02-28,-0.57686
2022-03-01,-0.57713
2022-03-02,-0.57716
2022-03-03,-0.57719
2022-03-04,-0.5772
2022-03-07,-0.57717
2022-03-08,-0.57719
2022-03-09,-0.57721
2022-03-10,-0.57724
2022-03-11,-0.57721
2022-03-14,-0.5772
2022-03-15,-0.5772
2022-03-16,-0.57716
2022-03-17,-0.57716
2022-03-18,-0.57716
2022-03-21,-0.57725
2022-03-22,-0.57732
2022-03-23,-0.57737
2022-03-24,-0.57739
2022-03-25,-0.5774
2022-03-28,-0.57746
2022-03-29,-0.57751
2022-03-30,-0.57752
2022-03-31,-0.57751
2022-04-01,-0.57728
2022-04-04,-0.57741
2022-04-05,-0.57749
2022-04-06,-0.57758
2022-04-07,-0.57765
2022-04-08,-0.57769
2022-04-11,-0.57778
2022-04-12,-0.57784
2022-04-13,-0.57789
2022-04-14,-0.57797
2022-04-19,-0.5784
2022-04-20,-0.57842
2022-04-21,-0.57847
2022-04-22,-0.57853
2022-04-25,-0.57867
2022-04-26,-0.57875
2022-04-27,-0.57881
2022-04-28,-0.57892
2022-04-29,-0.57896
2022-05-02,-0.57943
2022-05-03,-0.57948
2022-05-04,-0.5795
2022-05-05,-0.57956
2022-05-06,-0.57961
2022-05-09,-0.57994
2022-05-10,-0.58003
2022-05-11,-0.58017
2022-05-12,-0.5802
2022-05-13,-0.58016
2022-05-16,-0.58051
2022-05-17,-0.58061
2022-05-18,-0.58072
2022-05-19,-0.58075
2022-05-20,-0.58079
2022-05-23,-0.58123
2022-05-24,-0.58134
2022-05-25,-0.58147
2022-05-26,-0.58152
2022-05-27,-0.5816
2022-05-30,-0.58193
2022-05-31,-0.58197
2022-06-01,-0.58207
2022-06-02,-0.58212
2022-06-03,-0.5822
2022-06-06,-0.58236
2022-06-07,-0.58264
2022-06-08,-0.58268
2022-06-09,-0.58272
2022-06-10,-0.58274
2022-06-13,-0.58274
2022-06-14,-0.58291
2022-06-15,-0.58292
2022-06-16,-0.583
2022-06-17,-0.58305
2022-06-20,-0.58305
2022-06-21,-0.58322
2022-06-22,-0.58326
2022-06-23,-0.58327
2022-06-24,-0.58327
2022-06-27,-0.58319
2022-06-28,-0.58324
2022-06-29,-0.58325
2022-06-30,-0.58324
2022-07-01,-0.58327
2022-07-04,-0.58321
2022-07-05,-0.58315
2022-07-06,-0.58308
2022-07-07,-0.58304
2022-07-08,-0.58301
2022-07-11,-0.58288
2022-07-12,-0.58283
2022-07-13,-0.5828
2022-07-14,-0.58276
2022-07-15,-0.58274
2022-07-18,-0.58269
2022-07-19,-0.58254
2022-07-20,-0.58257
2022-07-21,-0.58256
2022-07-22,-0.58255
2022-07-25,-0.58251
2022-07-26,-0.58249
2022-07-27,-0.58248
2022-07-28,-0.57702
2022-07-29,-0.57157
2022-08-01,-0.55528
2022-08-02,-0.5502
2022-08-03,-0.54481
2022-08-04,-0.53947
2022-08-05,-0.53403
2022-08-08,-0.51917
2022-08-09,-0.51232
2022-08-10,-0.50689
2022-08-11,-0.50148
2022-08-12,-0.49606
2022-08-15,-0.48218
2022-08-16,-0.47453
2022-08-17,-0.46913
2022-08-18,-0.46372
2022-08-19,-0.45828
2022-08-22,-0.44499
2022-08-23,-0.4365
2022-08-24,-0.43101
2022-08-25,-0.42552
2022-08-26,-0.42002
2022-08-29,-0.40736
2022-08-30,-0.39804
2022-08-31,-0.39259
2022-09-01,-0.38718
2022-09-02,-0.38178
2022-09-05,-0.37008
2022-09-06,-0.35995
2022-09-07,-0.35446
2022-09-08,-0.34896
2022-09-09,-0.34357
2022-09-12,-0.33279
2022-09-13,-0.32202
2022-09-14,-0.31663
2022-09-15,-0.30316
2022-09-16,-0.28969
2022-09-19,-0.25629
2022-09-20,-0.23576
2022-09-21,-0.22229
2022-09-22,-0.20879
2022-09-23,-0.19531
2022-09-26,-0.1639
2022-09-27,-0.14135
2022-09-28,-0.12786
2022-09-29,-0.11436
2022-09-30,-0.10089
2022-10-03,-0.07198
2022-10-04,-0.0475
2022-10-05,-0.03406
2022-10-06,-0.02067
2022-10-07,-0.00724
2022-10-10,0.02001
2022-10-11,0.04644
2022-10-12,0.05989
2022-10-13,0.07335
2022-10-14,0.08682
2022-10-17,0.11214
2022-10-18,0.14072
2022-10-19,0.15419
2022-10-20,0.16766
2022-10-21,0.18112
2022-10-24,0.20446
2022-10-25,0.23505
2022-10-26,0.24853
2022-10-27,0.26198
2022-10-28,0.27006
2022-10-31,0.28619
2022-11-01,0.30243
2022-11-02,0.31055
2022-11-03,0.32676
2022-11-04,0.34297
2022-11-07,0.38132
2022-11-08,0.40762
2022-11-09,0.42377
2022-11-10,0.43993
2022-11-11,0.45612
2022-11-14,0.49219
2022-11-15,0.52101
2022-11-16,0.5372
2022-11-17,0.5534
2022-11-18,0.56961
2022-11-21,0.60322
2022-11-22,0.63436
2022-11-23,0.65053
2022-11-24,0.6667
2022-11-25,0.68289
2022-11-28,0.71407
2022-11-29,0.74749
2022-11-30,0.76364
2022-12-01,0.78927
2022-12-02,0.80561
2022-12-05,0.8546
2022-12-06,0.87095
2022-12-07,0.88737
2022-12-08,0.90362
2022-12-09,0.91999
2022-12-12,0.96906
2022-12-13,0.98543
2022-12-14,1.00176
2022-12-15,1.00992
2022-12-16,1.0181
2022-12-19,1.04263
2022-12-20,1.05084
2022-12-21,1.05904
2022-12-22,1.07272
2022-12-23,1.08641
2022-12-27,1.14127
2022-12-28,1.15498
2022-12-29,1.16869
2022-12-30,1.1824
2023-01-02,1.22367
2023-01-03,1.23115
2023-01-04,1.24475
2023-01-05,1.25835
2023-01-06,1.27196
2023-01-09,1.29868
2023-01-10,1.32617
2023-01-11,1.33975
2023-01-12,1.3533
2023-01-13,1.36685
2023-01-16,1.39162
2023-01-17,1.42112
2023-01-18,1.43468
2023-01-19,1.44826
2023-01-20,1.46187
2023-01-23,1.48472
2023-01-24,1.51624
2023-01-25,1.52984
2023-01-26,1.54346
2023-01-27,1.55708
2023-01-30,1.578
2023-01-31,1.61161
2023-02-01,1.62521
2023-02-02,1.63876
2023-02-03,1.64421
2023-02-06,1.65506
2023-02-07,1.66592
2023-02-08,1.6714
2023-02-09,1.68232
2023-02-10,1.69325
2023-02-13,1.7192
2023-02-14,1.73679
2023-02-15,1.7477
2023-02-16,1.75867
2023-02-17,1.76958
2023-02-20,1.79382
2023-02-21,1.81306
2023-02-22,1.82393
2023-02-23,1.83479
2023-02-24,1.84565
2023-02-27,1.86825
2023-02-28,1.88909
2023-03-01,1.91088
2023-03-02,1.92202
2023-03-03,1.92739
2023-03-06,1.96669
2023-03-07,1.97778
2023-03-08,1.98893
2023-03-09,2.00009
2023-03-10,2.00462
2023-03-13,2.04486
2023-03-14,2.05604
2023-03-15,2.0672
2023-03-16,2.07833
2023-03-17,2.08199
2023-03-20,2.12296
2023-03-21,2.13407
2023-03-22,2.13962
2023-03-23,2.15073
2023-03-24,2.15912
2023-03-27,2.19505
2023-03-28,2.20613
2023-03-29,2.21717
2023-03-30,2.22822
2023-03-31,2.23574
2023-04-03,2.27259
2023-04-04,2.2837
2023-04-05,2.29481
2023-04-06,2.306
2023-04-11,2.36209
2023-04-12,2.37323
2023-04-13,2.38439
2023-04-14,2.39023
2023-04-17,2.42889
2023-04-18,2.44003
2023-04-19,2.45119
2023-04-20,2.46236
2023-04-21,2.46741
2023-04-24,2.50706
2023-04-25,2.51825
2023-04-26,2.5294
2023-04-27,2.54054
2023-04-28,2.54469
2023-05-02,2.60366
2023-05-03,2.6149
2023-05-04,2.61823
2023-05-05,2.6215
2023-05-08,2.67132
2023-05-09,2.67688
2023-05-10,2.68245
2023-05-11,2.68782
2023-05-12,2.69308
2023-05-15,2.72465
2023-05-16,2.73302
2023-05-17,2.74146
2023-05-18,2.74625
2023-05-19,2.75096
2023-05-22,2.78405
2023-05-23,2.79255
2023-05-24,2.80112
2023-05-25,2.80522
2023-05-26,2.80923
2023-05-29,2.83891
2023-05-30,2.84254
2023-05-31,2.84611
2023-06-01,2.85439
2023-06-02,2.86259
2023-06-05,2.87717
2023-06-06,2.89535
2023-06-07,2.90352
2023-06-08,2.91169
2023-06-09,2.91987
2023-06-12,2.93319
2023-06-13,2.95247
2023-06-14,2.96064
2023-06-15,2.96885
2023-06-16,2.97703
2023-06-19,2.98907
2023-06-20,3.00956
2023-06-21,3.01773
2023-06-22,3.02864
2023-06-23,3.03411
2023-06-26,3.04782
2023-06-27,3.05605
2023-06-28,3.06152
2023-06-29,3.06706
2023-06-30,3.0726
2023-07-03,3.09144
2023-07-04,3.09698
2023-07-05,3.10256
2023-07-06,3.10811
2023-07-07,3.11164
2023-07-10,3.12179
2023-07-11,3.13594
2023-07-12,3.14155
2023-07-13,3.14716
2023-07-14,3.15272
2023-07-17,3.16953
2023-07-18,3.1751
2023-07-19,3.18062
2023-07-20,3.18613
2023-07-21,3.19166
2023-07-24,3.20834
2023-07-25,3.21388
2023-07-26,3.21946
2023-07-27,3.22502
2023-07-28,3.23059
2023-07-31,3.23701
2023-08-01,3.25306
2023-08-02,3.25501
2023-08-03,3.26333
2023-08-04,3.27162
2023-08-07,3.28849
2023-08-08,3.30473
2023-08-09,3.31306
2023-08-10,3.32133
2023-08-11,3.32689
2023-08-14,3.33993
2023-08-15,3.34909
2023-08-16,3.35471
2023-08-17,3.36026
2023-08-18,3.36578
2023-08-21,3.37798
2023-08-22,3.38784
2023-08-23,3.39338
2023-08-24,3.39881
2023-08-25,3.4043
2023-08-28,3.41564
2023-08-29,3.42625
2023-08-30,3.43179
2023-08-31,3.43732
2023-09-01,3.44282
2023-09-04,3.45337
2023-09-05,3.46493
2023-09-06,3.47045
2023-09-07,3.47601
2023-09-08,3.48158
2023-09-11,3.49135
2023-09-12,3.50377
2023-09-13,3.50933
2023-09-14,3.51487
2023-09-15,3.52038
2023-09-18,3.52923
2023-09-19,3.54252
2023-09-20,3.54808
2023-09-21,3.55638
2023-09-22,3.56194
2023-09-25,3.57544
2023-09-26,3.58412
2023-09-27,3.58965
2023-09-28,3.59522
2023-09-29,3.60077
2023-10-02,3.6186
2023-10-03,3.62203
2023-10-04,3.62753
2023-10-05,3.63301
2023-10-06,3.63845
2023-10-09,3.65005
2023-10-10,3.66009
2023-10-11,3.66555
2023-10-12,3.671
2023-10-13,3.67645
2023-10-16,3.68743
2023-10-17,3.69843
2023-10-18,3.70396
2023-10-19,3.70949
2023-10-20,3.71503
2023-10-23,3.72525
2023-10-24,3.73703
2023-10-25,3.7425
2023-10-26,3.74793
2023-10-27,3.75341
2023-10-30,3.76275
2023-10-31,3.77528
2023-11-01,3.78065
2023-11-02,3.7861
2023-11-03,3.78882
2023-11-06,3.79469
2023-11-07,3.79972
2023-11-08,3.80246
2023-11-09,3.8052
2023-11-10,3.80798
2023-11-13,3.81353
2023-11-14,3.81899
2023-11-15,3.82169
2023-11-16,3.82435
2023-11-17,3.82711
2023-11-20,3.83217
2023-11-21,3.83798
2023-11-22,3.84069
2023-11-23,3.8434
2023-11-24,3.84614
2023-11-27,3.85092
2023-11-28,3.85723
2023-11-29,3.85999
2023-11-30,3.86274
2023-12-01,3.86738
2023-12-04,3.87576
2023-12-05,3.87856
2023-12-06,3.88138
2023-12-07,3.88417
2023-12-08,3.88696
2023-12-11,3.89528
2023-12-12,3.89805
2023-12-13,3.90084
2023-12-14,3.90365
2023-12-15,3.90646
2023-12-18,3.91492
2023-12-19,3.91773
2023-12-20,3.9205
2023-12-21,3.9205
2023-12-22,3.92047
2023-12-27,3.92012
2023-12-28,3.92007
2023-12-29,3.92
2024-01-02,3.92006
2024-01-03,3.92013
2024-01-04,3.92018
2024-01-05,3.92019
2024-01-08,3.92074
2024-01-09,3.92043
2024-01-10,3.92048
2024-01-11,3.92055
2024-01-12,3.9206
2024-01-15,3.9211
2024-01-16,3.92064
2024-01-17,3.92067
2024-01-18,3.92067
2024-01-19,3.92072
2024-01-22,3.92117
2024-01-23,3.92065
2024-01-24,3.92062
2024-01-25,3.92063
2024-01-26,3.92068
2024-01-29,3.92118
2024-01-30,3.92078
2024-01-31,3.92087
2024-02-01,3.921
2024-02-02,3.92106
2024-02-05,3.92159
2024-02-06,3.92123
2024-02-07,3.92132
2024-02-08,3.92139
2024-02-09,3.92145
2024-02-12,3.92212
2024-02-13,3.92173
2024-02-14,3.92179
2024-02-15,3.92189
2024-02-16,3.92202
2024-02-19,3.9226
2024-02-20,3.9223
2024-02-21,3.92239
2024-02-22,3.92248
2024-02-23,3.92256
2024-02-26,3.92311
2024-02-27,3.92268
2024-02-28,3.9227
2024-02-29,3.92274
2024-03-01,3.92249
2024-03-04,3.92249
2024-03-05,3.92248
2024-03-06,3.92255
2024-03-07,3.92256
2024-03-08,3.92262
2024-03-11,3.92275
2024-03-12,3.92277
2024-03-13,3.92277
2024-03-14,3.92279
2024-03-15,3.92281
2024-03-18,3.92297
2024-03-19,3.92306
2024-03-20,3.92314
2024-03-21,3.92322
2024-03-22,3.9233
2024-03-25,3.92409
2024-03-26,3.92435
2024-03-27,3.92386
2024-03-28,3.92393
2024-04-02,3.92465
2024-04-03,3.92465
2024-04-04,3.92473
2024-04-05,3.92484
2024-04-08,3.92491
2024-04-09,3.92495
2024-04-10,3.92501
2024-04-11,3.92502
2024-04-12,3.92504
2024-04-15,3.92524
2024-04-16,3.92529
2024-04-17,3.92536
2024-04-18,3.9254
2024-04-19,3.92543
