month,date,line,amount,source
2025-09,2025-09-30,"OAT 1,00% 25/11/2025",350.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 2,50% 24/09/2026",4614.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 3,50 % 25/04/2026",1749.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT 6,00% 25/10/2025",297.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-09,2025-09-30,"OAT€i 0,10% 01/03/2026",330.0,0925_op%C3%A9rations_mensuelles_UK.pdf
2025-10,2025-10-31,OAT 1.00% 25/11/2025,150.0,1025_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 0.00% 25/02/2026,1057.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 0.50% 25/05/2026,18.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 1.00% 25/05/2027,225.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 1.00% 25/11/2025,38.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 2.50% 24/09/2026,333.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT 3.50 % 25/04/2026,328.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-11,2025-11-28,OAT€i 0.10% 01/03/2026,150.0,1125_op%C3%A9rations_mensuelles_UK.pdf
2025-12,2025-12-31,"OAT 0,00% 25/02/2026",416.0,1225_op%C3%A9rations_mensuelles_UK.pdf
2025-12,2025-12-31,"OAT 0,25% 25/11/2026",280.0,1225_op%C3%A9rations_mensuelles_UK.pdf
2025-12,2025-12-31,"OAT 0,50% 25/05/2026",332.0,1225_op%C3%A9rations_mensuelles_UK.pdf
2025-12,2025-12-31,"OAT 1,00% 25/05/2027",100.0,1225_op%C3%A9rations_mensuelles_UK.pdf
2025-12,2025-12-31,"OAT 2,50% 24/09/2027",354.0,1225_op%C3%A9rations_mensuelles_UK.pdf
2026-01,2026-01-30,OAT 2.50% 24/09/2027,200.0,0126_op%C3%A9rations_mensuelles_UK.pdf
2026-02,2026-02-27,OAT 0.00% 25/02/2027,550.0,0226_op%C3%A9rations_mensuelles_UK.pdf
2026-02,2026-02-27,OAT 1.00% 25/05/2027,600.0,0226_op%C3%A9rations_mensuelles_UK.pdf
2026-02,2026-02-27,OAT 2.75% 25/10/2027,100.0,0226_op%C3%A9rations_mensuelles_UK.pdf
2026-03,2026-03-31,"OAT 0,00% 25/02/2027",650.0,0326_op%C3%A9rations_mensuelles_UK.pdf
2026-03,2026-03-31,"OAT 2,50% 24/09/2027",900.0,0326_op%C3%A9rations_mensuelles_UK.pdf
2026-04,2026-04-30,OAT 0.00% 25/02/2027,370.0,0426_op%C3%A9rations_mensuelles_UK.pdf
2026-04,2026-04-30,OAT 1.00% 25/05/2027,143.0,0426_op%C3%A9rations_mensuelles_UK.pdf
2026-04,2026-04-30,OAT 2.50% 24/09/2027,300.0,0426_op%C3%A9rations_mensuelles_UK.pdf
2026-05,2026-05-29,OAT 0.00% 25/02/2027,3107.0,0526_op%C3%A9rations_mensuelles_UK.pdf
2026-05,2026-05-29,OAT 0.50% 25/05/2026,20.0,0526_op%C3%A9rations_mensuelles_UK.pdf
2026-05,2026-05-29,OAT 1.00% 25/05/2027,200.0,0526_op%C3%A9rations_mensuelles_UK.pdf
2026-05,2026-05-29,OAT 2.50% 24/09/2026,250.0,0526_op%C3%A9rations_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT 0,00% 25/02/2027",505.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT 0,75% 25/02/2028",375.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT 1,00% 25/05/2027",1988.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT 2,50% 24/09/2027",2150.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT 2,75% 25/10/2027",750.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-06,2026-06-30,"OAT€i 1,85% 25/07/2027",2400.0,0626_op%C3%A9ration_mensuelles_UK.pdf
2026-07,2026-07-31,"OAT 0,00% 25/02/2027",925.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OAT 0,75% 25/02/2028",200.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OAT 1,00% 25/05/2027",570.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OAT 2,50% 24/09/2027",5665.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OAT 2,75% 25/10/2027",712.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OATi 0,10% 01/03/2028",200.0,aft_ops_mensuelles_0726_UK.pdf
2026-07,2026-07-31,"OAT€i 1,85% 25/07/2027",275.0,aft_ops_mensuelles_0726_UK.pdf
