month,date,line,amount,source
2021-11,2021-11-30,OAT 0.00% 25/03/2023,297.5,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 0.00% 25/05/2022,712.0,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 1.75% 25/05/2023,250.0,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 2.25% 25/10/2022,206.0,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 3.00% 25/04/2022,1435.0,1121_opérations mensuelles_UK.pdf
2021-11,2021-11-30,OAT 8.50% 25/04/2023,180.5,1121_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 0.00% 25/02/2022,60.0,1221_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 0.00% 25/02/2023,758.0,1221_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 0.00% 25/03/2023,56.0,1221_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 2.25% 25/10/2022,51.0,1221_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 3.00% 25/04/2022,35.0,1221_opérations mensuelles_UK.pdf
2021-12,2021-12-31,OAT 8.50% 25/04/2023,30.0,1221_opérations mensuelles_UK.pdf
2022-01,2022-01-31,"OAT 0,00 % 25/02/2023",225.0,0122_opérations mensuelles_UK.pdf
2022-01,2022-01-31,"OAT 0,00 % 25/03/2023",683.0,0122_opérations mensuelles_UK.pdf
2022-02,2022-02-28,"OAT 0,00 % 25/02/2023",67.0,0222_op%C3%A9rations%20mensuelles_UK.pdf
2022-02,2022-02-28,"OAT 0,00 % 25/03/2023",283.0,0222_op%C3%A9rations%20mensuelles_UK.pdf
2022-03,2022-03-31,"OAT 0,00% 25/02/2023",1410.0,0322_op%C3%A9rations%20mensuelles_UK.pdf
2022-03,2022-03-31,"OAT 0,00% 25/03/2023",430.0,0322_op%C3%A9rations%20mensuelles_UK.pdf
2022-03,2022-03-31,"OAT 8,50% 25/04/2023",65.0,0322_op%C3%A9rations%20mensuelles_UK.pdf
2022-04,2022-04-29,"OAT 0,00% 25/03/2023",305.0,0422_op%C3%A9rations%20mensuelles_UK.pdf
2022-05,2022-05-31,"OAT 0,00% 25/03/2023",30.0,0522_op%C3%A9rations%20mensuelles_UK.pdf
2022-05,2022-05-31,"OAT 1,75% 25/05/2023",1970.0,0522_op%C3%A9rations%20mensuelles_UK.pdf
2022-06,2022-06-30,"OAT 0,00% 25/03/2023",125.0,0622_op%C3%A9rations%20mensuelles_UK.pdf
2022-06,2022-06-30,"OAT 1,75% 25/05/2023",435.0,0622_op%C3%A9rations%20mensuelles_UK.pdf
2022-07,2022-07-29,"OAT 8,50% 25/04/2023",397.0,0722_opérations mensuelles_UK.pdf
2022-08,2022-08-31,OAT 0.00% 25/02/2023,100.0,0822_opérations mensuelles_UK.pdf
2022-08,2022-08-31,OAT 0.00% 25/03/2023,5500.0,0822_opérations mensuelles_UK.pdf
2022-08,2022-08-31,OAT 1.75% 25/05/2023,300.0,0822_opérations mensuelles_UK.pdf
2022-08,2022-08-31,OAT 8.50% 25/04/2023,100.0,0822_opérations mensuelles_UK.pdf
2022-09,2022-09-30,OAT 0.00% 25/03/2023,6060.0,0922_op%C3%A9rations%20mensuelles_UK.pdf
2022-09,2022-09-30,OAT 1.75% 25/05/2023,915.0,0922_op%C3%A9rations%20mensuelles_UK.pdf
2022-09,2022-09-30,OAT 8.50% 25/04/2023,125.0,0922_op%C3%A9rations%20mensuelles_UK.pdf
2022-10,2022-10-31,"OAT 1,75 % 25/05/2023",575.0,1022_op%C3%A9rations%20mensuelles_UK.pdf
2022-11,2022-11-30,"OAT 0,00% 25/03/2023",1148.0,1122_op%C3%A9rations%20mensuelles_UK.pdf
2022-11,2022-11-30,"OAT 1,75 % 25/05/2023",4852.0,1122_op%C3%A9rations%20mensuelles_UK.pdf
2023-01,2023-01-31,,0.0,0123_op%C3%A9rations%20mensuelles_UK.pdf
2023-02,2023-02-28,,0.0,0223_op%C3%A9rations%20mensuelles_UK.pdf
2023-03,2023-03-31,,0.0,0323_op%C3%A9rations%20mensuelles_UK.pdf
2023-04,2023-04-28,,0.0,0423_op%C3%A9rations%20mensuelles_UK.pdf
2023-05,2023-05-31,,0.0,0523_op%C3%A9rations%20mensuelles_UK.pdf
2023-06,2023-06-30,,0.0,0623_op%C3%A9rations%20mensuelles_UK.pdf
2023-07,2023-07-31,"OATei 0,25% 07/25/2024",450.0,0723_op%C3%A9rations%20mensuelles_UK.pdf
2023-08,2023-08-31,"OAT 0,00% 25/02/2024",410.0,0823_op%C3%A9rations%20mensuelles_UK.pdf
2023-08,2023-08-31,"OAT 0,00% 25/03/2024",1500.0,0823_op%C3%A9rations%20mensuelles_UK.pdf
2023-08,2023-08-31,"OAT 1,75% 25/11/2024",575.0,0823_op%C3%A9rations%20mensuelles_UK.pdf
2023-08,2023-08-31,"OAT 2,25% 25/05/2024",780.0,0823_op%C3%A9rations%20mensuelles_UK.pdf
2023-08,2023-08-31,"OAT€i 0,25% 25/07/2024",950.0,0823_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 0,00% 25/02/2024",260.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 0,00% 25/02/2025",200.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 0,00% 25/03/2024",7630.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 0,50% 25/05/2025",550.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 1,75% 25/11/2024",2190.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT 2,25% 25/05/2024",900.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-09,2023-09-29,"OAT€i 0,25% 25/07/2024",1275.0,0923_op%C3%A9rations%20mensuelles_UK.pdf
2023-10,2023-10-31,OAT 0.00% 25/02/2025,750.0,1023_op%C3%A9rations%20mensuelles_UK.pdf
2023-10,2023-10-31,OAT 0.00% 25/03/2025,200.0,1023_op%C3%A9rations%20mensuelles_UK.pdf
2023-10,2023-10-31,OAT 0.50% 25/05/2025,1620.0,1023_op%C3%A9rations%20mensuelles_UK.pdf
2023-11,2023-11-30,"OAT 0,00% 25/02/2025",7715.0,1123_op%C3%A9rations%20mensuelles_UK.pdf
2023-11,2023-11-30,"OAT 0,00% 25/03/2025",400.0,1123_op%C3%A9rations%20mensuelles_UK.pdf
2023-11,2023-11-30,"OAT 0,50% 25/05/2025",1475.0,1123_op%C3%A9rations%20mensuelles_UK.pdf
