date,ILM.W.U2.C.A070200.U2.EUR
2023-06-30,186227.0
2023-07-07,187656.0
2023-07-14,189914.0
2023-07-21,189757.0
2023-07-28,189835.0
2023-08-04,189353.0
2023-08-11,189432.0
2023-08-18,190510.0
2023-08-25,191558.0
2023-09-01,192370.0
2023-09-08,192732.0
2023-09-15,192898.0
2023-09-22,195295.0
2023-09-29,196595.0
2023-10-06,199827.0
2023-10-13,201179.0
2023-10-20,203032.0
2023-10-27,202002.0
2023-11-03,200719.0
2023-11-10,200458.0
2023-11-17,201056.0
2023-11-24,201933.0
2023-12-01,201746.0
2023-12-08,203104.0
2023-12-15,204270.0
2023-12-22,202705.0
2023-12-29,204621.0
2024-01-05,204218.0
2024-01-12,204382.0
2024-01-19,205964.0
2024-01-26,207495.0
2024-02-02,204896.0
2024-02-09,202255.0
2024-02-16,201965.0
2024-02-23,202664.0
2024-03-01,201994.0
2024-03-08,202540.0
2024-03-15,204927.0
2024-03-22,206237.0
2024-03-29,207552.0
2024-04-05,209930.0
2024-04-12,212802.0
2024-04-19,214858.0
2024-04-26,215880.0
2024-05-03,215211.0
2024-05-10,215605.0
2024-05-17,216047.0
2024-05-24,217354.0
2024-05-31,217699.0
2024-06-07,218297.0
2024-06-14,219080.0
2024-06-21,219100.0
2024-06-28,218708.0
2024-07-05,218096.0
2024-07-12,218578.0
2024-07-19,219315.0
2024-07-26,220036.0
2024-08-02,220460.0
2024-08-09,220342.0
2024-08-16,219249.0
2024-08-23,219822.0
2024-08-30,220679.0
2024-09-06,221049.0
2024-09-13,222279.0
2024-09-20,223771.0
2024-09-27,225571.0
2024-10-04,227292.0
2024-10-11,228236.0
2024-10-18,228909.0
2024-10-25,230892.0
2024-11-01,230735.0
2024-11-08,233887.0
2024-11-15,235998.0
2024-11-22,239711.0
2024-11-29,240995.0
2024-12-06,241608.0
2024-12-13,247394.0
2024-12-20,249112.0
2024-12-27,249386.0
2025-01-03,249787.0
2025-01-10,251702.0
2025-01-17,256072.0
2025-01-24,261290.0
2025-01-31,262482.0
2025-02-07,263064.0
2025-02-14,266125.0
2025-02-21,268216.0
2025-02-28,269335.0
2025-03-07,270917.0
2025-03-14,274521.0
2025-03-21,276641.0
2025-03-28,278781.0
2025-04-04,279580.0
2025-04-11,280917.0
2025-04-18,280677.0
2025-04-25,287076.0
2025-05-02,288701.0
2025-05-09,289682.0
2025-05-16,288973.0
2025-05-23,290654.0
2025-05-30,290903.0
2025-06-06,291128.0
2025-06-13,291111.0
2025-06-20,291537.0
2025-06-27,290784.0
2025-07-04,290882.0
2025-07-11,290979.0
2025-07-18,292729.0
2025-07-25,294556.0
2025-08-01,296468.0
2025-08-08,296933.0
2025-08-15,296757.0
2025-08-22,297718.0
2025-08-29,298385.0
2025-09-05,299095.0
2025-09-12,299782.0
2025-09-19,300753.0
2025-09-26,301350.0
2025-10-03,302685.0
2025-10-10,302902.0
2025-10-17,305445.0
2025-10-24,306604.0
2025-10-31,307659.0
2025-11-07,309742.0
2025-11-14,310860.0
2025-11-21,311555.0
2025-11-28,312945.0
2025-12-05,315385.0
2025-12-12,317643.0
2025-12-19,318701.0
2025-12-26,318653.0
2026-01-02,323252.0
2026-01-09,325416.0
2026-01-16,324078.0
2026-01-23,325267.0
2026-01-30,326216.0
2026-02-06,327335.0
2026-02-13,328086.0
2026-02-20,330666.0
2026-02-27,332615.0
2026-03-06,332191.0
2026-03-13,333709.0
2026-03-20,335586.0
2026-03-27,336838.0
2026-04-03,337322.0
2026-04-10,337225.0
2026-04-17,336911.0
2026-04-24,335261.0
2026-05-01,334635.0
2026-05-08,335159.0
2026-05-15,336639.0
2026-05-22,339616.0
2026-05-29,341320.0
2026-06-05,342363.0
2026-06-12,343800.0
2026-06-19,346362.0
2026-06-26,349384.0
2026-07-03,352082.0
2026-07-10,352919.0
2026-07-17,353483.0
2026-07-24,355884.0
2026-07-31,355193.0
2026-08-07,355867.0
2026-08-14,357756.0
2026-08-21,360195.0
2026-08-28,361447.0
2026-09-04,362960.0
