ISIN,Instrument,Maturity,Coupon,Outstanding amount,Date of data,To be quoted
"EU000A3K4DN7","Bills","06/01/2023","0.00%","-","-","N"
"EU000A3K4DQ0","Bills","03/02/2023","0.00%","-","-","N"
"EU000A3K4DR8","Bills","03/03/2023","0.00%","-","-","N"
"EU000A3K4DU2","Bills","07/04/2023","0.00%","-","-","N"
"EU000A3K4DX6","Bills","05/05/2023","0.00%","-","-","N"
"EU000A3K4DZ1","Bills","09/06/2023","0.00%","-","-","N"
"EU000A3K4DZ1","Bills","09/06/2023","-","-","-","N"
"EU000A3K4D17","Bills","07/07/2023","0.00%","-","-","N"
"EU000A3K4D17","Bills","07/07/2023","-","-","-","N"
"EU000A3K4D25","Bills","04/08/2023","0.00%","-","-","N"
"EU000A3K4D25","Bills","04/08/2023","-","-","-","N"
"EU000A3K4D33","Bills","08/09/2023","-","-","-","N"
"EU000A4EHML3","Bills","09/10/2026","-","5443","05/09/2026","N"
"EU000A4EHML3","Bills","09/10/2026","-","-","-","N"
"EU000A4EMTG8","Bills","08/01/2027","-","5251","05/09/2026","N"
"EU000A4EMTG8","Bills","08/01/2027","-","-","-","N"
"EU000A4EW8B9","Bills","09/07/2027","-","3755","05/09/2026","N"
"EU000A4EW8B9","Bills","09/07/2027","-","-","-","N"
"EU000A3L7AT2","Bills","09/01/2026","-","-","-","N"
"EU000A4D85N4","Bills","10/04/2026","-","-","-","N"
"EU000A4ED0K0","Bonds","13/12/2032","2.75%","-","-","Y"
"EU000A4ED0K0","Bonds","13/12/2032","-","17936","05/09/2026","N"
"EU000A3L7AS4","Bills","04/07/2025","-","-","-","N"
"EU000A4D85M6","Bills","03/10/2025","-","-","-","N"
"EU000A4D5QM6","Bonds","04/07/2028","2.63%","-","-","Y"
"EU000A4D5QM6","Bonds","04/07/2028","-","19354","05/09/2026","N"
"EU000A4EDCQ2","Bills","03/07/2026","-","-","-","N"
"EU000A3K4D66","Bills","10/11/2023","-","-","-","N"
"EU000A3K4EB0","Bills","09/02/2024","-","-","-","N"
"EU000A4ELKS4","Bills","04/12/2026","-","3895","05/09/2026","N"
"EU000A4ELKS4","Bills","04/12/2026","-","-","-","N"
"EU000A4EQY98","Bills","05/03/2027","-","4167","05/09/2026","N"
"EU000A4EQY98","Bills","05/03/2027","-","-","-","N"
"EU000A4E0DU7","Bills","03/09/2027","-","1920","05/09/2026","N"
"EU000A4E0DU7","Bills","03/09/2027","-","-","-","N"
"EU000A3L0VR7","Bills","10/01/2025","-","-","-","N"
"EU000A3L3W70","Bills","04/04/2025","-","-","-","N"
"EU000A3K4EQ8","Bills","05/07/2024","-","-","-","N"
"EU000A3K4EV8","Bills","04/10/2024","-","-","-","N"
"EU000A4EF4A1","Bills","04/09/2026","-","-","-","N"
"EU000A4EVJR7","Bills","04/06/2027","-","3322","05/09/2026","N"
"EU000A4EVJR7","Bills","04/06/2027","-","-","-","N"
"EU000A4EB329","Bills","05/12/2025","-","-","-","N"
"EU000A4D7LB6","Bills","06/03/2026","-","-","-","N"
"EU000A3L1DJ0","Bonds","04/12/2031","2.50%","-","-","Y"
"EU000A3L1DJ0","Bonds","04/12/2031","-","20506","05/09/2026","N"
"EU000A4D8KD2","Bonds","12/12/2035","3.37%","-","-","Y"
"EU000A4D8KD2","Bonds","12/12/2035","3.38%","-","-","Y"
"EU000A4D8KD2","Bonds","12/12/2035","-","19692","05/09/2026","N"
"EU000A3K4EY2","Bonds","05/10/2054","3.37%","-","-","Y"
"EU000A3K4EY2","Bonds","05/10/2054","3.38%","-","-","Y"
"EU000A3K4EY2","Bonds","05/10/2054","-","17293","05/09/2026","N"
"EU000A4EB337","Bills","05/06/2026","-","-","-","N"
"EU000A4EAKP3","Bills","08/05/2026","-","-","-","N"
"EU000A4EEWF1","Bills","07/08/2026","-","-","-","N"
"EU000A4EPCJ1","Bills","05/02/2027","-","3883","05/09/2026","N"
"EU000A4EPCJ1","Bills","05/02/2027","-","-","-","N"
"EU000A3K4EN5","Bonds","05/12/2028","3.13%","-","-","Y"
"EU000A3K4EN5","Bonds","05/12/2028","-","21840","05/09/2026","N"
"EU000A3K4D74","Bonds","04/10/2038","3.37%","-","-","Y"
"EU000A3K4D74","Bonds","04/10/2038","3.38%","-","-","Y"
"EU000A3K4D74","Bonds","04/10/2038","-","19536","05/09/2026","N"
"EU000A4D7LA8","Bills","05/09/2025","-","-","-","N"
"EU000A3K4EZ9","Bills","06/12/2024","-","-","-","N"
"EU000A3L28B4","Bills","07/03/2025","-","-","-","N"
"EU000A3K4EA2","Bills","12/01/2024","-","-","-","N"
"EU000A3K4EK1","Bills","05/04/2024","-","-","-","N"
"EU000A3L1CN4","Bonds","05/10/2029","2.88%","-","-","Y"
"EU000A3L1CN4","Bonds","05/10/2029","2.87%","-","-","Y"
"EU000A3L1CN4","Bonds","05/10/2029","-","16308","05/09/2026","N"
"EU000A3K4D41","Bonds","04/07/2034","3.25%","-","-","Y"
"EU000A3K4D41","Bonds","04/07/2034","-","20115","05/09/2026","N"
"EU000A3L6N78","Bills","06/06/2025","-","-","-","N"
"EU000A3K4D82","Bonds","05/10/2026","2.75%","-","-","N"
"EU000A3K4D82","Bonds","05/10/2026","-","14108","05/09/2026","N"
"EU000A3K4EL9","Bonds","04/04/2044","4.00%","-","-","Y"
"EU000A3K4EL9","Bonds","04/04/2044","-","15818","05/09/2026","N"
"EU000A3L48E6","Bills","09/05/2025","-","-","-","N"
"EU000A4D5544","Bills","08/08/2025","-","-","-","N"
"EU000A4D5551","Bills","06/02/2026","-","-","-","N"
"EU000A3K4D58","Bills","06/10/2023","-","-","-","N"
"EU000A3K4ET2","Bills","06/09/2024","-","-","-","N"
"EU000A4EJ3Q5","Bills","06/11/2026","-","4545","05/09/2026","N"
"EU000A4EJ3Q5","Bills","06/11/2026","-","-","-","N"
"EU000A4EYPS6","Bills","06/08/2027","-","1900","05/09/2026","N"
"EU000A4EYPS6","Bills","06/08/2027","-","-","-","N"
"EU000A3K4EP0","Bills","07/06/2024","-","-","-","N"
"EU000A4ET792","Bills","07/05/2027","-","3419","05/09/2026","N"
"EU000A4ET792","Bills","07/05/2027","-","-","-","N"
"EU000A4EAKN8","Bills","07/11/2025","-","-","-","N"
"EU000A3K4D90","Bills","08/12/2023","-","-","-","N"
"EU000A3K4EC8","Bills","08/03/2024","-","-","-","N"
"EU000A3L1585","Bills","07/02/2025","-","-","-","N"
"EU000A3K4EM7","Bills","10/05/2024","-","-","-","N"
"EU000A3K4ER6","Bills","09/08/2024","-","-","-","N"
"EU000A3K4EX4","Bills","08/11/2024","-","-","-","N"
"EU000A3K4ES4","Bonds","04/12/2034","3.00%","-","-","Y"
"EU000A3K4ES4","Bonds","04/12/2034","-","21909","05/09/2026","N"
"EU000A3LNF05","Bonds","04/12/2030","3.13%","-","-","Y"
"EU000A3LNF05","Bonds","04/12/2030","-","20277","05/09/2026","N"
"EU000A4ESJ04","Bills","09/04/2027","-","2394","05/09/2026","N"
"EU000A4ESJ04","Bills","09/04/2027","-","-","-","N"
"EU000A4ENP68","Bonds","12/07/2029","2.38%","-","-","Y"
"EU000A4ENP68","Bonds","12/07/2029","2.37%","-","-","Y"
"EU000A4ENP68","Bonds","12/07/2029","-","13970","05/09/2026","N"
"EU000A4EUY43","Bonds","12/10/2033","3.13%","-","-","Y"
"EU000A4EUY43","Bonds","12/10/2033","-","8915","05/09/2026","N"
"EU000A3K4EW6","Bonds","06/12/2027","2.88%","-","-","Y"
"EU000A3K4EW6","Bonds","06/12/2027","2.87%","-","-","Y"
"EU000A3K4EW6","Bonds","06/12/2027","-","18407","05/09/2026","N"
"EU000A4EA8Y7","Bonds","12/10/2045","3.75%","-","-","Y"
"EU000A4EA8Y7","Bonds","12/10/2045","-","17563","05/09/2026","N"
"EU000A4ERVC2","Bonds","12/12/2036","3.25%","-","-","Y"
"EU000A4ERVC2","Bonds","12/12/2036","-","17287","05/09/2026","N"
"EU000A4EG021","Bonds","14/10/2030","2.50%","-","-","Y"
"EU000A4EG021","Bonds","14/10/2030","-","18378","05/09/2026","N"
"EU000A3LZ0X9","Bonds","04/10/2039","3.37%","-","-","Y"
"EU000A3LZ0X9","Bonds","04/10/2039","3.38%","-","-","Y"
"EU000A3LZ0X9","Bonds","04/10/2039","-","19372","05/09/2026","N"
"EU000A4EJF17","Bonds","12/12/2040","3.62%","-","-","Y"
"EU000A4EJF17","Bonds","12/12/2040","-","14752","05/09/2026","N"
"EU000A4EXVK3","Bonds","13/10/2031","2.88%","-","-","Y"
"EU000A4EXVK3","Bonds","13/10/2031","2.87%","-","-","Y"
"EU000A4EXVK3","Bonds","13/10/2031","-","8183","05/09/2026","N"
"EU000A3K4EU0","NGEU green bonds","04/02/2050","3.25%","-","-","Y"
"EU000A3K4EU0","NGEU green bonds","04/02/2050","-","17000","05/09/2026","N"
"EU000A4EG039","Bonds","12/10/2055","4.00%","-","-","Y"
"EU000A4EG039","Bonds","12/10/2055","-","15000","05/09/2026","N"
"EU000A4ES497","Bonds","12/10/2046","4.00%","-","-","Y"
"EU000A4ES497","Bonds","12/10/2046","-","11000","05/09/2026","N"
"EU000A18VJA3","Bonds","01/12/2028","-","100","05/09/2026","N"
"EU000A18YZ05","Bonds","04/04/2036","-","1000","05/09/2026","N"
"EU000A18Z2D4","Bonds","04/04/2031","-","3160","05/09/2026","N"
"EU000A19LSZ0","Bonds","20/07/2032","-","100","05/09/2026","N"
"EU000A19XC51","Bonds","04/04/2033","-","2615","05/09/2026","N"
"EU000A1G1Q17","Bonds","04/04/2032","-","3000","05/09/2026","N"
"EU000A1G30R0","Bonds","04/04/2038","-","1800","05/09/2026","N"
"EU000A1G6TV9","Bonds","04/04/2028","-","2300","05/09/2026","N"
"EU000A1GY6W8","Bonds","04/04/2042","-","3000","05/09/2026","N"
"EU000A1HBXS7","Bonds","04/11/2027","-","3000","05/09/2026","N"
"EU000A1Z0401","Bonds","04/05/2027","-","100","05/09/2026","N"
"EU000A1Z0AV9","Bonds","04/04/2027","-","52","05/09/2026","N"
"EU000A1Z0AW7","Bonds","04/04/2028","-","52","05/09/2026","N"
"EU000A1Z0AX5","Bonds","04/04/2029","-","52","05/09/2026","N"
"EU000A1Z0AY3","Bonds","04/04/2030","-","52","05/09/2026","N"
"EU000A1Z6TV6","Bonds","04/10/2035","-","2000","05/09/2026","N"
"EU000A1ZR7H3","Bonds","04/10/2029","-","2245","05/09/2026","N"
"EU000A1ZVYN6","Bonds","04/12/2026","-","20","05/09/2026","N"
"EU000A1ZVYP1","Bonds","04/12/2027","-","20","05/09/2026","N"
"EU000A1ZVYQ9","Bonds","04/12/2028","-","20","05/09/2026","N"
"EU000A1ZVYR7","Bonds","04/12/2029","-","20","05/09/2026","N"
"EU000A28Z2F7","Bonds","16/07/2035","-","20","05/09/2026","N"
"EU000A2R4FY3","Bonds","04/12/2035","-","250","05/09/2026","N"
"EU000A2R99Z3","Bonds","13/11/2034","-","150","05/09/2026","N"
"EU000A2R9EC1","Bonds","18/04/2034","-","20","05/09/2026","N"
"EU000A3K4DC0","Bonds","11/03/2037","-","600","05/09/2026","N"
"EU000A3K4DK3","Bonds","25/05/2037","-","300","05/09/2026","N"
"EU000A3K4DP2","Bonds","01/08/2034","-","535","05/09/2026","N"
"EU000A3K73L1","Bonds","02/08/2040","-","500","05/09/2026","N"
"-","-","-","-","-","05/09/2026","N"
